,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Top Mid Left Side,Syrson,7,14,-7,885,1529,-644,2,0,2,200,0,200,5,14,-9,685,1529,-844,470
1,Bottom Stairs,Syrson,10,11,-1,905,1368,-463,6,6,0,630,772,-142,4,5,-1,275,596,-321,470
2,Ticketbooth ,Syrson,16,12,4,1470,1320,150,14,11,3,1384,1196,188,2,1,1,86,124,-38,470
3,CT Side Apps,Syrson,21,16,5,2529,1687,842,4,2,2,449,196,253,17,14,3,2080,1491,589,470
4,Snipers Nest,Syrson,10,7,3,828,876,-48,10,5,5,820,692,128,0,2,-2,8,184,-176,470
5,CT Catwalk,Syrson,4,8,-4,316,747,-431,2,2,0,102,200,-98,2,6,-4,214,547,-333,470
6,Close Market door,Syrson,4,7,-3,296,630,-334,4,6,-2,287,530,-243,0,1,-1,9,100,-91,470
7,A Ramp,Syrson,8,9,-1,1070,1016,54,1,1,0,100,20,80,7,8,-1,970,996,-26,470
8,T Palace Stairs Peek,Syrson,5,6,-1,335,609,-274,3,1,2,214,126,88,2,5,-3,121,483,-362,470
9,Default A,Syrson,2,5,-3,260,452,-192,1,3,-2,160,327,-167,1,2,-1,100,125,-25,470
10,Triple Box,Syrson,7,4,3,589,640,-51,3,3,0,263,448,-185,4,1,3,326,192,134,470
11,Deep Catwalk,Syrson,15,7,8,1286,1031,255,5,3,2,592,423,169,10,4,6,694,608,86,470
12,CT Deep Catwalk Mid peek,Syrson,17,9,8,1528,938,590,2,4,-2,214,332,-118,15,5,10,1314,606,708,470
13,Bottom Connector,Syrson,8,5,3,807,756,51,3,0,3,327,45,282,5,5,0,480,711,-231,470
14,Mid Close Connector,Syrson,5,4,1,528,652,-124,3,3,0,266,378,-112,2,1,1,262,274,-12,470
15,Top Connector,Syrson,4,5,-1,412,549,-137,3,2,1,127,214,-87,1,3,-2,285,335,-50,470
16,Market Window Peek,Syrson,3,1,2,330,100,230,3,0,3,296,0,296,0,1,-1,34,100,-66,470
17,Top Mid towards Apps,Syrson,2,4,-2,224,380,-156,1,1,0,7,36,-29,1,3,-2,217,344,-127,470
18,A Site Exposed to Stairs Connector Cat,Syrson,8,3,5,644,340,304,7,0,7,481,47,434,1,3,-2,163,293,-130,470
19,Deep T Apps,Syrson,4,3,1,416,684,-268,0,0,0,0,68,-68,4,3,1,416,616,-200,470
20,Close A Ramp,Syrson,1,1,0,100,142,-42,0,0,0,0,0,0,1,1,0,100,142,-42,470
21,Top Mid Catwalk,Syrson,2,3,-1,248,258,-10,0,0,0,0,0,0,2,3,-1,248,258,-10,470
22,B Site Default Plant,Syrson,0,5,-5,148,578,-430,0,1,-1,87,100,-13,0,4,-4,61,478,-417,470
23,Deep Jungle,Syrson,10,5,5,963,603,360,4,2,2,454,291,163,6,3,3,509,312,197,470
24,Deep CT,Syrson,4,5,-1,457,537,-80,4,4,0,418,414,4,0,1,-1,39,123,-84,470
25,Catwalk Connector Peek,Syrson,20,7,13,1871,863,1008,3,1,2,228,100,128,17,6,11,1643,763,880,470
26,Bench,Syrson,3,4,-1,347,280,67,0,1,-1,78,100,-22,3,3,0,269,180,89,470
27,Catwalk T Aparments Peek,Syrson,10,5,5,821,651,170,4,2,2,299,294,5,6,3,3,522,357,165,470
28,Top Balcony,Syrson,6,3,3,584,330,254,2,0,2,100,30,70,4,3,1,484,300,184,470
29,Right Side Connector,Syrson,16,6,10,1512,656,856,14,4,10,1334,529,805,2,2,0,178,127,51,470
30,T Spawn towards Apps,Syrson,0,5,-5,0,443,-443,0,3,-3,0,290,-290,0,2,-2,0,153,-153,470
31,market,Syrson,3,4,-1,323,345,-22,2,2,0,195,181,14,1,2,-1,128,164,-36,470
32,Underpass,Syrson,5,2,3,506,324,182,5,2,3,506,324,182,0,0,0,0,0,0,470
33,CT Outside Market,Syrson,0,3,-3,85,300,-215,0,2,-2,58,200,-142,0,1,-1,27,100,-73,470
34,Back B Site Peeking Apps/Plat,Syrson,2,3,-1,282,279,3,0,0,0,56,54,2,2,3,-1,226,225,1,470
35,A Site,Syrson,0,4,-4,37,340,-303,0,0,0,15,8,7,0,4,-4,22,332,-310,470
36,Snipers Palace Peek,Syrson,4,2,2,428,178,250,4,1,3,428,81,347,0,1,-1,0,97,-97,470
37,B site Market Plant,Syrson,1,0,1,126,69,57,0,0,0,0,52,-52,1,0,1,126,17,109,470
38,Left Side Platform,Syrson,5,4,1,406,362,44,1,1,0,100,100,0,4,3,1,306,262,44,470
39,Deep T Apps Underpass STairs,Syrson,5,2,3,467,254,213,4,2,2,367,254,113,1,0,1,100,0,100,470
40,Ladder Room Catwalk Side,Syrson,3,1,2,257,134,123,1,1,0,100,100,0,2,0,2,157,34,123,470
41,T Deep Apps Underpass/Apps Peek,Syrson,0,1,-1,27,100,-73,0,0,0,0,0,0,0,1,-1,27,100,-73,470
42,T Spawn,Syrson,2,2,0,100,195,-95,1,0,1,100,34,66,1,2,-1,0,161,-161,470
43,Arch,Syrson,4,3,1,464,375,89,0,2,-2,119,172,-53,4,1,3,345,203,142,470
44,Left Side corner deep jungle,Syrson,5,2,3,466,254,212,4,2,2,366,200,166,1,0,1,100,54,46,470
45,Underneath B apps plat,Syrson,1,3,-2,116,329,-213,0,0,0,16,36,-20,1,3,-2,100,293,-193,470
46,CT Left Side,Syrson,4,1,3,363,100,263,3,1,2,263,100,163,1,0,1,100,0,100,470
47,Leftside Connector,Syrson,3,1,2,197,70,127,1,1,0,55,52,3,2,0,2,142,18,124,470
48,Top Mid,Syrson,3,2,1,306,200,106,1,0,1,100,0,100,2,2,0,206,200,6,470
49,T Spawn A Ramp,Syrson,5,2,3,582,253,329,2,1,1,200,100,100,3,1,2,382,153,229,470
50,B Bombsite Cross to Catwalk,Syrson,2,3,-1,259,326,-67,0,1,-1,0,89,-89,2,2,0,259,237,22,470
51,Top STairs,Syrson,4,1,3,171,273,-102,2,1,1,51,178,-127,2,0,2,120,95,25,470
52,Catwalk Plant B Site,Syrson,1,1,0,70,126,-56,0,0,0,0,0,0,1,1,0,70,126,-56,470
53,Deep Palace,Syrson,5,2,3,448,369,79,1,1,0,100,100,0,4,1,3,348,269,79,470
54,Ninja,Syrson,3,1,2,298,126,172,3,1,2,298,126,172,0,0,0,0,0,0,470
55,Close Left CT A Ramp,Syrson,0,0,0,140,0,140,0,0,0,0,0,0,0,0,0,140,0,140,470
56,Apartments Right CT Corner,Syrson,2,3,-1,455,252,203,0,0,0,0,0,0,2,3,-1,455,252,203,470
57,Connector behind box,Syrson,8,2,6,841,256,585,8,2,6,841,256,585,0,0,0,0,0,0,470
58,Close Right Market Window,Syrson,2,1,1,151,166,-15,0,0,0,0,66,-66,2,1,1,151,100,51,470
59,Top Mid Right Side,Syrson,3,1,2,383,100,283,3,1,2,300,100,200,0,0,0,83,0,83,470
60,Right Side Platform,Syrson,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,470
61,T Apps TV,Syrson,1,1,0,79,100,-21,1,1,0,79,100,-21,0,0,0,0,0,0,470
62,Back Left B Site From T's' Perspective,Syrson,2,1,1,228,68,160,1,0,1,128,29,99,1,1,0,100,39,61,470
63,Stairs Palace Peek,Syrson,4,2,2,264,174,90,4,2,2,264,174,90,0,0,0,0,0,0,470
64,Sandwhich,Syrson,1,0,1,200,59,141,0,0,0,0,1,-1,1,0,1,200,58,142,470
65,Firebox,Syrson,6,0,6,575,12,563,5,0,5,475,12,463,1,0,1,100,0,100,470
66,Top Mid Boxes Right Side Peek,Syrson,5,2,3,626,435,191,1,0,1,100,0,100,4,2,2,526,435,91,470
67,Top Mid Boxes Left Side Peek,Syrson,3,1,2,388,129,259,0,0,0,0,0,0,3,1,2,388,129,259,470
68,Inside Market Doors,Syrson,1,2,-1,69,216,-147,1,1,0,69,146,-77,0,1,-1,0,70,-70,470
69,Right Side Snipers Nest,Syrson,0,1,-1,72,12,60,0,0,0,0,0,0,0,1,-1,72,12,60,470
70,Stairs Smoke Platform,Syrson,0,1,-1,16,66,-50,0,1,-1,16,66,-50,0,0,0,0,0,0,470
71,CT Spawn,Syrson,3,0,3,328,18,310,2,0,2,228,0,228,1,0,1,100,18,82,470
72,Bench Closer To Jungle,Syrson,0,1,-1,13,100,-87,0,1,-1,13,100,-87,0,0,0,0,0,0,470
73,Tetris,Syrson,3,1,2,286,120,166,0,0,0,0,0,0,3,1,2,286,120,166,470
74,Behind Big Boxes,Syrson,0,2,-2,0,25,-25,0,1,-1,0,0,0,0,1,-1,0,25,-25,470
75,Back Right B Site from T's Perspective,Syrson,1,0,1,84,0,84,1,0,1,84,0,84,0,0,0,0,0,0,470
76,Under balcony,Syrson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
77,Van Barrel Peek,Syrson,0,1,-1,52,80,-28,0,0,0,0,0,0,0,1,-1,52,80,-28,470
78,Chair,Syrson,1,1,0,58,100,-42,0,0,0,0,0,0,1,1,0,58,100,-42,470
79,Bottom Mid Boosting Snipers,Syrson,0,0,0,27,0,27,0,0,0,27,0,27,0,0,0,0,0,0,470
80,Bottom Mid Ladder Room Peek,Syrson,0,0,0,18,31,-13,0,0,0,18,31,-13,0,0,0,0,0,0,470
81,Entrance,Syrson,0,1,-1,0,55,-55,0,0,0,0,0,0,0,1,-1,0,55,-55,470
82,Headshot Angle Close A Ramp,Syrson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
83,Register Market,Syrson,2,1,1,154,100,54,0,0,0,0,0,0,2,1,1,154,100,54,470
84,Balcony Boaxes,Syrson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
85,Murder Hole,Syrson,1,0,1,160,85,75,1,0,1,160,85,75,0,0,0,0,0,0,470
86,Deep T Spawn T Ramp,Syrson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
87,Top Mid on top of Boxes,Syrson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
88,Bench Closer to Tribox,Syrson,0,1,-1,0,127,-127,0,1,-1,0,127,-127,0,0,0,0,0,0,470
89,Semi Elevated CT Van,Syrson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
90,CT Cheese Spot Murder Hole ,Syrson,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,470
91,Ticketbooth ,K1to,20,17,3,2308,1965,343,19,15,4,2208,1819,389,1,2,-1,100,146,-46,445
92,A Ramp,K1to,12,7,5,1312,1143,169,7,3,4,733,465,268,5,4,1,579,678,-99,445
93,Top Balcony,K1to,31,17,14,2892,1838,1054,8,5,3,858,529,329,23,12,11,2034,1309,725,445
94,Default A,K1to,16,15,1,2053,1499,554,11,8,3,1370,770,600,5,7,-2,683,729,-46,445
95,A Site,K1to,7,15,-8,884,1337,-453,3,9,-6,481,743,-262,4,6,-2,403,594,-191,445
96,Close A Ramp,K1to,14,8,6,1707,926,781,10,5,5,1340,550,790,4,3,1,367,376,-9,445
97,T Palace Stairs Peek,K1to,11,9,2,1175,1301,-126,2,1,1,200,172,28,9,8,1,975,1129,-154,445
98,Bottom Stairs,K1to,4,7,-3,458,614,-156,2,4,-2,269,356,-87,2,3,-1,189,258,-69,445
99,Mid Close Connector,K1to,3,10,-7,416,904,-488,3,5,-2,371,467,-96,0,5,-5,45,437,-392,445
100,Close Market door,K1to,7,5,2,539,420,119,4,4,0,301,378,-77,3,1,2,238,42,196,445
101,Tetris,K1to,5,7,-2,496,711,-215,3,3,0,196,321,-125,2,4,-2,300,390,-90,445
102,Triple Box,K1to,22,9,13,2433,1278,1155,20,7,13,2121,1021,1100,2,2,0,312,257,55,445
103,CT Catwalk,K1to,3,4,-1,305,364,-59,2,3,-1,190,272,-82,1,1,0,115,92,23,445
104,CT Side Apps,K1to,14,8,6,1426,1116,310,0,1,-1,8,100,-92,14,7,7,1418,1016,402,445
105,CT Deep Catwalk Mid peek,K1to,5,7,-2,511,710,-199,2,2,0,130,133,-3,3,5,-2,381,577,-196,445
106,Close Left CT A Ramp,K1to,6,5,1,775,382,393,1,2,-1,72,200,-128,5,3,2,703,182,521,445
107,A Site Exposed to Stairs Connector Cat,K1to,4,6,-2,484,551,-67,1,1,0,258,100,158,3,5,-2,226,451,-225,445
108,Snipers Nest,K1to,4,4,0,584,506,78,2,0,2,207,82,125,2,4,-2,377,424,-47,445
109,Top Mid Left Side,K1to,3,5,-2,454,541,-87,0,0,0,0,0,0,3,5,-2,454,541,-87,445
110,Arch,K1to,7,4,3,620,497,123,1,1,0,34,189,-155,6,3,3,586,308,278,445
111,Back B Site Peeking Apps/Plat,K1to,3,8,-5,269,860,-591,0,1,-1,22,74,-52,3,7,-4,247,786,-539,445
112,Deep Palace,K1to,4,4,0,517,505,12,2,2,0,251,200,51,2,2,0,266,305,-39,445
113,market,K1to,2,3,-1,212,353,-141,1,2,-1,112,193,-81,1,1,0,100,160,-60,445
114,Market Window Peek,K1to,5,1,4,511,236,275,2,0,2,200,47,153,3,1,2,311,189,122,445
115,B Bombsite Cross to Catwalk,K1to,8,2,6,767,249,518,0,1,-1,15,100,-85,8,1,7,752,149,603,445
116,Bench,K1to,6,4,2,564,323,241,5,2,3,396,123,273,1,2,-1,168,200,-32,445
117,T Spawn A Ramp,K1to,3,1,2,387,154,233,1,0,1,100,0,100,2,1,1,287,154,133,445
118,Catwalk Connector Peek,K1to,6,6,0,513,797,-284,3,1,2,234,287,-53,3,5,-2,279,510,-231,445
119,Deep Catwalk,K1to,5,2,3,556,407,149,4,0,4,400,98,302,1,2,-1,156,309,-153,445
120,Left Side Platform,K1to,5,3,2,509,467,42,0,0,0,0,0,0,5,3,2,509,467,42,445
121,Catwalk T Aparments Peek,K1to,4,7,-3,494,600,-106,2,2,0,267,237,30,2,5,-3,227,363,-136,445
122,Back Left B Site From T's' Perspective,K1to,2,3,-1,123,219,-96,2,2,0,123,185,-62,0,1,-1,0,34,-34,445
123,B Site Default Plant,K1to,2,6,-4,253,481,-228,1,0,1,53,0,53,1,6,-5,200,481,-281,445
124,Deep CT,K1to,1,4,-3,236,279,-43,0,3,-3,136,179,-43,1,1,0,100,100,0,445
125,Sandwhich,K1to,3,4,-1,363,350,13,3,4,-1,363,318,45,0,0,0,0,32,-32,445
126,Deep Jungle,K1to,4,1,3,321,145,176,2,0,2,206,6,200,2,1,1,115,139,-24,445
127,CT Outside Market,K1to,0,3,-3,53,183,-130,0,0,0,0,0,0,0,3,-3,53,183,-130,445
128,Back Right B Site from T's Perspective,K1to,1,3,-2,162,241,-79,0,1,-1,62,100,-38,1,2,-1,100,141,-41,445
129,Top Mid,K1to,2,2,0,252,233,19,2,0,2,216,0,216,0,2,-2,36,233,-197,445
130,B site Market Plant,K1to,1,2,-1,166,151,15,0,0,0,56,0,56,1,2,-1,110,151,-41,445
131,Top STairs,K1to,4,5,-1,549,540,9,4,5,-1,549,540,9,0,0,0,0,0,0,445
132,Under balcony,K1to,1,4,-3,307,381,-74,1,3,-2,253,302,-49,0,1,-1,54,79,-25,445
133,Underpass,K1to,3,3,0,262,385,-123,2,1,1,198,100,98,1,2,-1,64,285,-221,445
134,Top Mid Catwalk,K1to,4,0,4,319,78,241,1,0,1,100,78,22,3,0,3,219,0,219,445
135,Underneath B apps plat,K1to,5,3,2,488,348,140,0,1,-1,0,78,-78,5,2,3,488,270,218,445
136,Top Mid towards Apps,K1to,3,3,0,283,349,-66,1,0,1,100,0,100,2,3,-1,183,349,-166,445
137,Snipers Palace Peek,K1to,5,2,3,500,174,326,4,1,3,400,123,277,1,1,0,100,51,49,445
138,Stairs Palace Peek,K1to,5,2,3,369,304,65,5,1,4,369,118,251,0,1,-1,0,186,-186,445
139,CT Left Side,K1to,0,2,-2,37,311,-274,0,2,-2,37,311,-274,0,0,0,0,0,0,445
140,Right Side Connector,K1to,5,2,3,433,262,171,5,1,4,433,184,249,0,1,-1,0,78,-78,445
141,Bottom Connector,K1to,4,2,2,668,379,289,1,1,0,310,234,76,3,1,2,358,145,213,445
142,T Deep Apps Underpass/Apps Peek,K1to,2,4,-2,247,343,-96,0,0,0,0,0,0,2,4,-2,247,343,-96,445
143,Jungle Plant,K1to,1,2,-1,114,116,-2,1,1,0,114,100,14,0,1,-1,0,16,-16,445
144,Ladder Room Catwalk Side,K1to,0,2,-2,45,168,-123,0,1,-1,45,68,-23,0,1,-1,0,100,-100,445
145,Inside Market Doors,K1to,2,2,0,235,179,56,1,2,-1,83,129,-46,1,0,1,152,50,102,445
146,Firebox,K1to,0,2,-2,48,141,-93,0,0,0,0,0,0,0,2,-2,48,141,-93,445
147,Deep T Apps Underpass STairs,K1to,0,1,-1,18,100,-82,0,1,-1,0,100,-100,0,0,0,18,0,18,445
148,T Spawn,K1to,0,0,0,61,0,61,0,0,0,0,0,0,0,0,0,61,0,61,445
149,Catwalk Plant B Site,K1to,4,2,2,415,290,125,0,1,-1,0,100,-100,4,1,3,415,190,225,445
150,Top Mid Boxes Right Side Peek,K1to,0,2,-2,0,180,-180,0,0,0,0,0,0,0,2,-2,0,180,-180,445
151,Top Mid Boxes Left Side Peek,K1to,1,2,-1,192,212,-20,0,0,0,0,0,0,1,2,-1,192,212,-20,445
152,Leftside Connector,K1to,1,2,-1,146,228,-82,1,1,0,98,104,-6,0,1,-1,48,124,-76,445
153,Forest,K1to,2,1,1,160,139,21,0,0,0,0,0,0,2,1,1,160,139,21,445
154,Chair,K1to,1,2,-1,141,294,-153,0,0,0,0,94,-94,1,2,-1,141,200,-59,445
155,Deep T Apps,K1to,1,2,-1,221,350,-129,0,0,0,3,0,3,1,2,-1,218,350,-132,445
156,Top Van,K1to,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,445
157,Deep T Spawn T Ramp,K1to,2,1,1,232,134,98,2,0,2,232,34,198,0,1,-1,0,100,-100,445
158,Bench Closer To Jungle,K1to,0,1,-1,0,15,-15,0,0,0,0,0,0,0,1,-1,0,15,-15,445
159,T Deep apps,K1to,0,1,-1,74,181,-107,0,0,0,25,81,-56,0,1,-1,49,100,-51,445
160,Close Right Market Window,K1to,5,2,3,453,299,154,0,0,0,47,0,47,5,2,3,406,299,107,445
161,Headshot Angle Close A Ramp,K1to,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,445
162,Right Side Platform,K1to,1,2,-1,127,203,-76,0,0,0,0,0,0,1,2,-1,127,203,-76,445
163,Right Side Snipers Nest,K1to,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,445
164,Balcony Boaxes,K1to,0,1,-1,1,100,-99,0,1,-1,1,100,-99,0,0,0,0,0,0,445
165,Bottom Mid Boosting Snipers,K1to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
166,Middle Bench,K1to,1,1,0,127,164,-37,0,0,0,0,0,0,1,1,0,127,164,-37,445
167,Behind Big Boxes,K1to,0,0,0,0,14,-14,0,0,0,0,0,0,0,0,0,0,14,-14,445
168,Safe Plant B Site,K1to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
169,Apartments Right CT Corner,K1to,1,1,0,126,110,16,0,0,0,0,10,-10,1,1,0,126,100,26,445
170,Tucked in corner Market,K1to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
171,Top Connector,K1to,2,0,2,200,72,128,0,0,0,0,11,-11,2,0,2,200,61,139,445
172,Bottom Mid Ladder Room Peek,K1to,2,1,1,205,100,105,1,0,1,100,0,100,1,1,0,105,100,5,445
173,Top Mid Right Side,K1to,1,1,0,87,85,2,1,1,0,87,85,2,0,0,0,0,0,0,445
174,Bench Closer to Tribox,K1to,0,1,-1,29,132,-103,0,1,-1,29,132,-103,0,0,0,0,0,0,445
175,Under window B apps,K1to,0,1,-1,0,29,-29,0,1,-1,0,11,-11,0,0,0,0,18,-18,445
176,Bottom Stairs,Tabsen,19,26,-7,2027,2775,-748,17,16,1,1643,1732,-89,2,10,-8,384,1043,-659,470
177,Mid Close Connector,Tabsen,17,17,0,2177,2078,99,10,8,2,1185,791,394,7,9,-2,992,1287,-295,470
178,Top Mid,Tabsen,4,13,-9,524,1323,-799,2,2,0,190,182,8,2,11,-9,334,1141,-807,470
179,Top Mid Left Side,Tabsen,8,20,-12,1203,2351,-1148,0,2,-2,93,212,-119,8,18,-10,1110,2139,-1029,470
180,Bottom Connector,Tabsen,6,11,-5,725,1215,-490,0,5,-5,59,448,-389,6,6,0,666,767,-101,470
181,Deep Catwalk,Tabsen,5,13,-8,855,1384,-529,3,3,0,346,314,32,2,10,-8,509,1070,-561,470
182,Snipers Nest,Tabsen,12,11,1,1996,1242,754,10,8,2,1858,920,938,2,3,-1,138,322,-184,470
183,A Site Exposed to Stairs Connector Cat,Tabsen,13,9,4,987,870,117,9,3,6,577,235,342,4,6,-2,410,635,-225,470
184,Catwalk Connector Peek,Tabsen,6,10,-4,691,1214,-523,0,3,-3,30,287,-257,6,7,-1,661,927,-266,470
185,Top Balcony,Tabsen,3,4,-1,210,230,-20,1,1,0,100,9,91,2,3,-1,110,221,-111,470
186,Default A,Tabsen,7,5,2,744,553,191,5,3,2,484,392,92,2,2,0,260,161,99,470
187,Leftside Connector,Tabsen,4,8,-4,530,679,-149,2,5,-3,395,416,-21,2,3,-1,135,263,-128,470
188,A Ramp,Tabsen,5,2,3,393,310,83,1,0,1,84,38,46,4,2,2,309,272,37,470
189,Deep Jungle,Tabsen,11,8,3,1541,857,684,9,5,4,1271,588,683,2,3,-1,270,269,1,470
190,A Site,Tabsen,15,4,11,1015,463,552,6,1,5,573,84,489,9,3,6,442,379,63,470
191,Close A Ramp,Tabsen,1,2,-1,223,184,39,1,1,0,132,125,7,0,1,-1,91,59,32,470
192,Close Market door,Tabsen,3,3,0,337,369,-32,2,3,-1,262,325,-63,1,0,1,75,44,31,470
193,Catwalk T Aparments Peek,Tabsen,2,5,-3,280,415,-135,0,1,-1,38,92,-54,2,4,-2,242,323,-81,470
194,Ticketbooth ,Tabsen,23,6,17,2074,733,1341,18,6,12,1601,689,912,5,0,5,473,44,429,470
195,T Palace Stairs Peek,Tabsen,5,2,3,567,224,343,0,1,-1,101,100,1,5,1,4,466,124,342,470
196,Triple Box,Tabsen,8,7,1,687,675,12,5,3,2,420,331,89,3,4,-1,267,344,-77,470
197,Tetris,Tabsen,4,4,0,451,468,-17,3,2,1,351,236,115,1,2,-1,100,232,-132,470
198,Deep CT,Tabsen,2,6,-4,462,580,-118,0,4,-4,184,428,-244,2,2,0,278,152,126,470
199,Bench,Tabsen,3,1,2,352,129,223,0,0,0,0,0,0,3,1,2,352,129,223,470
200,Market Window Peek,Tabsen,6,5,1,548,513,35,4,4,0,375,331,44,2,1,1,173,182,-9,470
201,market,Tabsen,4,2,2,388,347,41,3,1,2,288,274,14,1,1,0,100,73,27,470
202,Top Connector,Tabsen,4,3,1,420,321,99,2,0,2,233,116,117,2,3,-1,187,205,-18,470
203,Sandwhich,Tabsen,3,6,-3,532,677,-145,0,4,-4,232,415,-183,3,2,1,300,262,38,470
204,CT Side Apps,Tabsen,4,4,0,554,407,147,1,0,1,126,0,126,3,4,-1,428,407,21,470
205,CT Catwalk,Tabsen,11,6,5,1409,895,514,2,1,1,363,143,220,9,5,4,1046,752,294,470
206,Left Side Platform,Tabsen,2,4,-2,250,309,-59,0,0,0,0,0,0,2,4,-2,250,309,-59,470
207,Stairs Palace Peek,Tabsen,5,3,2,674,292,382,5,2,3,631,215,416,0,1,-1,43,77,-34,470
208,Top Mid Catwalk,Tabsen,0,2,-2,22,203,-181,0,0,0,0,0,0,0,2,-2,22,203,-181,470
209,B Bombsite Cross to Catwalk,Tabsen,3,5,-2,370,346,24,0,0,0,16,0,16,3,5,-2,354,346,8,470
210,CT Deep Catwalk Mid peek,Tabsen,6,2,4,380,210,170,2,0,2,82,0,82,4,2,2,298,210,88,470
211,Back Left B Site From T's' Perspective,Tabsen,2,6,-4,280,538,-258,2,5,-3,280,438,-158,0,1,-1,0,100,-100,470
212,Deep Palace,Tabsen,0,3,-3,16,300,-284,0,1,-1,0,100,-100,0,2,-2,16,200,-184,470
213,Left Side corner deep jungle,Tabsen,6,3,3,569,185,384,5,2,3,522,173,349,1,1,0,47,12,35,470
214,Underpass,Tabsen,0,1,-1,95,100,-5,0,1,-1,22,100,-78,0,0,0,73,0,73,470
215,B Site Default Plant,Tabsen,0,2,-2,0,200,-200,0,0,0,0,0,0,0,2,-2,0,200,-200,470
216,Arch,Tabsen,8,4,4,783,405,378,3,2,1,262,200,62,5,2,3,521,205,316,470
217,Back B Site Peeking Apps/Plat,Tabsen,2,2,0,182,185,-3,0,0,0,0,0,0,2,2,0,182,185,-3,470
218,Right Side Connector,Tabsen,4,2,2,485,267,218,1,2,-1,133,201,-68,3,0,3,352,66,286,470
219,Snipers Palace Peek,Tabsen,1,2,-1,245,303,-58,1,2,-1,155,303,-148,0,0,0,90,0,90,470
