,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,CT Catwalk,Konfig,15,12,3,1942,1253,689,10,7,3,1392,725,667,5,5,0,550,528,22,563
1,CT Side Apps,Konfig,11,14,-3,1262,1535,-273,5,3,2,540,348,192,6,11,-5,722,1187,-465,563
2,Left Side Platform,Konfig,9,11,-2,876,1153,-277,5,5,0,421,506,-85,4,6,-2,455,647,-192,563
3,Deep Jungle,Konfig,16,15,1,1510,1551,-41,7,2,5,573,259,314,9,13,-4,937,1292,-355,563
4,Ticketbooth ,Konfig,12,15,-3,1379,1522,-143,6,6,0,689,739,-50,6,9,-3,690,783,-93,563
5,Top Mid Left Side,Konfig,7,12,-5,1184,1732,-548,2,1,1,200,198,2,5,11,-6,984,1534,-550,563
6,Deep Catwalk,Konfig,26,18,8,2838,2351,487,20,11,9,2160,1466,694,6,7,-1,678,885,-207,563
7,Bottom Stairs,Konfig,19,15,4,2062,1364,698,4,5,-1,423,388,35,15,10,5,1639,976,663,563
8,Triple Box,Konfig,11,15,-4,1218,1152,66,5,4,1,604,361,243,6,11,-5,614,791,-177,563
9,A Ramp,Konfig,11,11,0,1320,1322,-2,2,1,1,200,136,64,9,10,-1,1120,1186,-66,563
10,Mid Close Connector,Konfig,6,11,-5,954,1475,-521,5,4,1,578,507,71,1,7,-6,376,968,-592,563
11,CT Deep Catwalk Mid peek,Konfig,19,15,4,1885,1649,236,15,11,4,1487,1199,288,4,4,0,398,450,-52,563
12,Bottom Connector,Konfig,6,7,-1,582,575,7,3,3,0,217,331,-114,3,4,-1,365,244,121,563
13,A Site,Konfig,5,11,-6,516,1127,-611,0,1,-1,15,102,-87,5,10,-5,501,1025,-524,563
14,Default A,Konfig,11,7,4,988,781,207,3,4,-1,318,459,-141,8,3,5,670,322,348,563
15,Arch,Konfig,21,11,10,1930,1069,861,16,10,6,1341,1062,279,5,1,4,589,7,582,563
16,Top Connector,Konfig,2,10,-8,371,841,-470,0,3,-3,42,284,-242,2,7,-5,329,557,-228,563
17,B Bombsite Cross to Catwalk,Konfig,7,6,1,784,697,87,3,3,0,365,288,77,4,3,1,419,409,10,563
18,Top Mid,Konfig,7,5,2,839,652,187,3,1,2,376,110,266,4,4,0,463,542,-79,563
19,Catwalk T Aparments Peek,Konfig,8,6,2,790,732,58,3,3,0,484,365,119,5,3,2,306,367,-61,563
20,Deep CT,Konfig,7,5,2,601,575,26,3,4,-1,208,403,-195,4,1,3,393,172,221,563
21,A Site Exposed to Stairs Connector Cat,Konfig,12,6,6,1199,947,252,5,3,2,447,380,67,7,3,4,752,567,185,563
22,Back B Site Peeking Apps/Plat,Konfig,7,7,0,642,606,36,4,1,3,360,140,220,3,6,-3,282,466,-184,563
23,Snipers Nest,Konfig,4,4,0,481,463,18,3,1,2,360,126,234,1,3,-2,121,337,-216,563
24,Top Balcony,Konfig,4,3,1,437,383,54,1,2,-1,128,200,-72,3,1,2,309,183,126,563
25,Catwalk Connector Peek,Konfig,17,5,12,1671,905,766,8,4,4,726,502,224,9,1,8,945,403,542,563
26,Top Mid Catwalk,Konfig,4,3,1,299,370,-71,4,3,1,272,300,-28,0,0,0,27,70,-43,563
27,Right Side Connector,Konfig,2,4,-2,236,433,-197,0,0,0,0,44,-44,2,4,-2,236,389,-153,563
28,Close A Ramp,Konfig,4,6,-2,493,750,-257,0,0,0,0,0,0,4,6,-2,493,750,-257,563
29,Close Market door,Konfig,4,5,-1,595,399,196,2,3,-1,263,228,35,2,2,0,332,171,161,563
30,Sandwhich,Konfig,3,7,-4,403,696,-293,1,5,-4,160,448,-288,2,2,0,243,248,-5,563
31,market,Konfig,5,3,2,486,566,-80,2,3,-1,209,467,-258,3,0,3,277,99,178,563
32,Close Left CT A Ramp,Konfig,4,4,0,393,371,22,0,0,0,0,0,0,4,4,0,393,371,22,563
33,Underpass,Konfig,5,3,2,439,365,74,3,3,0,266,364,-98,2,0,2,173,1,172,563
34,Top Mid Right Side,Konfig,3,3,0,378,413,-35,0,0,0,0,0,0,3,3,0,378,413,-35,563
35,Bench,Konfig,13,5,8,1163,487,676,9,5,4,970,487,483,4,0,4,193,0,193,563
36,Underneath B apps plat,Konfig,9,2,7,592,459,133,6,1,5,330,334,-4,3,1,2,262,125,137,563
37,CT Spawn,Konfig,5,2,3,431,220,211,3,2,1,231,220,11,2,0,2,200,0,200,563
38,Back Left B Site From T's' Perspective,Konfig,7,4,3,586,368,218,5,2,3,386,226,160,2,2,0,200,142,58,563
39,Deep T Apps,Konfig,2,2,0,203,698,-495,2,0,2,161,85,76,0,2,-2,42,613,-571,563
40,Catwalk Plant B Site,Konfig,1,1,0,128,97,31,1,1,0,100,97,3,0,0,0,28,0,28,563
41,CT Left Side,Konfig,2,1,1,241,200,41,1,1,0,141,161,-20,1,0,1,100,39,61,563
42,Under window B apps,Konfig,9,5,4,950,463,487,4,1,3,434,124,310,5,4,1,516,339,177,563
43,Ladder Room Catwalk Side,Konfig,4,5,-1,261,366,-105,3,4,-1,161,289,-128,1,1,0,100,77,23,563
44,Top Mid towards Apps,Konfig,2,2,0,265,287,-22,2,0,2,61,0,61,0,2,-2,204,287,-83,563
45,Murder Hole,Konfig,4,4,0,401,535,-134,1,1,0,103,100,3,3,3,0,298,435,-137,563
46,Connector behind box,Konfig,2,3,-1,295,339,-44,0,0,0,0,72,-72,2,3,-1,295,267,28,563
47,T Palace Stairs Peek,Konfig,1,2,-1,97,210,-113,1,1,0,66,110,-44,0,1,-1,31,100,-69,563
48,CT Outside Market,Konfig,3,2,1,300,105,195,1,1,0,100,10,90,2,1,1,200,95,105,563
49,Snipers Palace Peek,Konfig,7,1,6,599,198,401,2,1,1,101,100,1,5,0,5,498,98,400,563
50,Tetris,Konfig,5,3,2,532,249,283,0,0,0,22,0,22,5,3,2,510,249,261,563
51,Firebox,Konfig,1,2,-1,127,201,-74,1,0,1,100,1,99,0,2,-2,27,200,-173,563
52,Ninja,Konfig,0,2,-2,119,200,-81,0,2,-2,119,200,-81,0,0,0,0,0,0,563
53,Forest,Konfig,3,1,2,263,82,181,0,0,0,0,0,0,3,1,2,263,82,181,563
54,T Deep Apps Underpass/Apps Peek,Konfig,0,1,-1,129,121,8,0,1,-1,129,119,10,0,0,0,0,2,-2,563
55,Market Window Peek,Konfig,3,2,1,253,170,83,2,1,1,153,14,139,1,1,0,100,156,-56,563
56,Top Mid Boxes Left Side Peek,Konfig,2,0,2,210,18,192,0,0,0,28,0,28,2,0,2,182,18,164,563
57,Leftside Connector,Konfig,11,2,9,998,452,546,2,0,2,111,77,34,9,2,7,887,375,512,563
58,Right Side Snipers Nest,Konfig,3,2,1,260,93,167,2,1,1,160,41,119,1,1,0,100,52,48,563
59,Apartments Right CT Corner,Konfig,0,3,-3,44,315,-271,0,1,-1,17,100,-83,0,2,-2,27,215,-188,563
60,Van Barrel Peek,Konfig,3,2,1,276,187,89,2,1,1,176,100,76,1,1,0,100,87,13,563
61,Right Side Platform,Konfig,1,1,0,117,124,-7,0,1,-1,9,100,-91,1,0,1,108,24,84,563
62,Inside Market Doors,Konfig,7,3,4,808,217,591,2,1,1,377,144,233,5,2,3,431,73,358,563
63,Register Market,Konfig,0,2,-2,36,108,-72,0,2,-2,36,108,-72,0,0,0,0,0,0,563
64,B Site Default Plant,Konfig,1,1,0,0,130,-130,1,0,1,0,0,0,0,1,-1,0,130,-130,563
65,Jungle Plant,Konfig,0,3,-3,43,229,-186,0,0,0,0,0,0,0,3,-3,43,229,-186,563
66,Stairs Palace Peek,Konfig,5,3,2,485,360,125,3,2,1,371,309,62,2,1,1,114,51,63,563
67,Deep T Apps Underpass STairs,Konfig,2,2,0,276,100,176,0,1,-1,0,0,0,2,1,1,276,100,176,563
68,Back Right B Site from T's Perspective,Konfig,1,1,0,138,160,-22,0,1,-1,38,139,-101,1,0,1,100,21,79,563
69,Underpass Peek from Snipers,Konfig,0,0,0,9,31,-22,0,0,0,9,31,-22,0,0,0,0,0,0,563
70,Close Right Market Window,Konfig,6,2,4,720,172,548,3,1,2,299,100,199,3,1,2,421,72,349,563
71,Deep Palace,Konfig,2,0,2,119,94,25,0,0,0,0,0,0,2,0,2,119,94,25,563
72,Left Side corner deep jungle,Konfig,0,1,-1,0,59,-59,0,0,0,0,31,-31,0,1,-1,0,28,-28,563
73,Balcony Boaxes,Konfig,0,3,-3,79,165,-86,0,0,0,3,0,3,0,3,-3,76,165,-89,563
74,Under balcony,Konfig,1,2,-1,100,109,-9,1,0,1,100,0,100,0,2,-2,0,109,-109,563
75,Top Mid Boxes Right Side Peek,Konfig,1,1,0,117,129,-12,1,0,1,68,0,68,0,1,-1,49,129,-80,563
76,Behind Big Boxes,Konfig,1,0,1,106,120,-14,0,0,0,0,0,0,1,0,1,106,120,-14,563
77,Chair,Konfig,0,0,0,87,82,5,0,0,0,0,0,0,0,0,0,87,82,5,563
78,Bench Closer to Tribox,Konfig,1,2,-1,315,147,168,0,0,0,33,0,33,1,2,-1,282,147,135,563
79,T Spawn towards Apps,Konfig,3,0,3,196,0,196,1,0,1,61,0,61,2,0,2,135,0,135,563
80,Middle Bench,Konfig,2,1,1,100,90,10,2,0,2,100,26,74,0,1,-1,0,64,-64,563
81,Top STairs,Konfig,6,2,4,417,176,241,2,0,2,200,0,200,4,2,2,217,176,41,563
82,T Spawn,Konfig,0,2,-2,36,200,-164,0,1,-1,35,100,-65,0,1,-1,1,100,-99,563
83,Stairs Smoke Platform,Konfig,0,1,-1,38,15,23,0,1,-1,38,15,23,0,0,0,0,0,0,563
84,BackHall,Konfig,0,1,-1,0,56,-56,0,1,-1,0,56,-56,0,0,0,0,0,0,563
85,T Spawn A Ramp,Konfig,3,1,2,296,278,18,0,1,-1,0,100,-100,3,0,3,296,178,118,563
86,Semi Elevated CT Van,Konfig,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,563
87,Top Mid on top of Boxes,Konfig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
88,T Deep apps,Konfig,1,1,0,100,176,-76,1,0,1,100,76,24,0,1,-1,0,100,-100,563
89,B site Market Plant,Konfig,6,0,6,446,93,353,5,0,5,346,93,253,1,0,1,100,0,100,563
90,Bottom Mid Boosting Snipers,Konfig,2,1,1,270,68,202,2,0,2,228,1,227,0,1,-1,42,67,-25,563
91,Bottom Mid Ladder Room Peek,Konfig,1,0,1,100,49,51,1,0,1,100,42,58,0,0,0,0,7,-7,563
92,Top Van,Konfig,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,563
93,Mid Close Connector,BlameF,21,16,5,2447,1615,832,7,2,5,922,339,583,14,14,0,1525,1276,249,563
94,Bottom Stairs,BlameF,31,14,17,3198,1994,1204,17,8,9,1910,1305,605,14,6,8,1288,689,599,563
95,Snipers Nest,BlameF,15,9,6,2454,1399,1055,11,4,7,2120,714,1406,4,5,-1,334,685,-351,563
96,Deep Jungle,BlameF,25,12,13,2664,1584,1080,13,5,8,1364,650,714,12,7,5,1300,934,366,563
97,Ticketbooth ,BlameF,10,5,5,956,543,413,8,3,5,837,309,528,2,2,0,119,234,-115,563
98,Underpass,BlameF,8,9,-1,940,1133,-193,5,6,-1,612,522,90,3,3,0,328,611,-283,563
99,A Site,BlameF,5,15,-10,705,1508,-803,1,2,-1,88,242,-154,4,13,-9,617,1266,-649,563
100,Default A,BlameF,5,4,1,300,527,-227,3,2,1,216,200,16,2,2,0,84,327,-243,563
101,CT Side Apps,BlameF,11,15,-4,1235,1790,-555,1,3,-2,146,288,-142,10,12,-2,1089,1502,-413,563
102,Top Mid Left Side,BlameF,5,7,-2,692,1013,-321,0,1,-1,13,100,-87,5,6,-1,679,913,-234,563
103,Top Mid,BlameF,17,12,5,2449,1313,1136,13,8,5,1633,805,828,4,4,0,816,508,308,563
104,A Site Exposed to Stairs Connector Cat,BlameF,6,7,-1,890,906,-16,5,4,1,668,553,115,1,3,-2,222,353,-131,563
105,Left Side Platform,BlameF,4,6,-2,442,601,-159,2,0,2,208,74,134,2,6,-4,234,527,-293,563
106,T Palace Stairs Peek,BlameF,1,3,-2,145,319,-174,1,0,1,100,19,81,0,3,-3,45,300,-255,563
107,CT Catwalk,BlameF,7,4,3,822,515,307,3,1,2,395,164,231,4,3,1,427,351,76,563
108,Deep Catwalk,BlameF,4,3,1,381,288,93,1,1,0,137,110,27,3,2,1,244,178,66,563
109,Snipers Palace Peek,BlameF,15,6,9,1123,705,418,13,5,8,939,598,341,2,1,1,184,107,77,563
110,Bottom Connector,BlameF,12,8,4,1384,851,533,5,2,3,545,333,212,7,6,1,839,518,321,563
111,Top Balcony,BlameF,2,5,-3,264,437,-173,1,4,-3,76,337,-261,1,1,0,188,100,88,563
112,A Ramp,BlameF,8,7,1,1094,870,224,2,1,1,350,148,202,6,6,0,744,722,22,563
113,Triple Box,BlameF,7,6,1,484,509,-25,3,2,1,202,102,100,4,4,0,282,407,-125,563
114,Underneath B apps plat,BlameF,2,4,-2,134,381,-247,1,1,0,45,100,-55,1,3,-2,89,281,-192,563
115,Leftside Connector,BlameF,12,6,6,1456,715,741,8,4,4,935,468,467,4,2,2,521,247,274,563
116,Close Market door,BlameF,6,7,-1,578,683,-105,6,7,-1,578,683,-105,0,0,0,0,0,0,563
117,Deep T Apps,BlameF,4,5,-1,403,656,-253,0,2,-2,0,200,-200,4,3,1,403,456,-53,563
118,market,BlameF,11,3,8,823,412,411,8,2,6,560,213,347,3,1,2,263,199,64,563
119,Right Side Snipers Nest,BlameF,6,5,1,688,605,83,4,5,-1,488,583,-95,2,0,2,200,22,178,563
120,Deep Palace,BlameF,5,4,1,510,516,-6,3,3,0,352,300,52,2,1,1,158,216,-58,563
121,Catwalk T Aparments Peek,BlameF,4,3,1,469,315,154,1,2,-1,299,224,75,3,1,2,170,91,79,563
122,Arch,BlameF,5,5,0,425,408,17,4,1,3,278,113,165,1,4,-3,147,295,-148,563
123,CT Deep Catwalk Mid peek,BlameF,2,1,1,295,135,160,0,0,0,0,4,-4,2,1,1,295,131,164,563
124,Catwalk Connector Peek,BlameF,8,5,3,777,609,168,0,0,0,84,0,84,8,5,3,693,609,84,563
125,Top STairs,BlameF,7,7,0,958,879,79,2,4,-2,445,320,125,5,3,2,513,559,-46,563
126,Sandwhich,BlameF,6,3,3,642,307,335,0,0,0,0,0,0,6,3,3,642,307,335,563
127,Connector behind box,BlameF,7,3,4,925,609,316,5,2,3,686,326,360,2,1,1,239,283,-44,563
128,Back B Site Peeking Apps/Plat,BlameF,3,3,0,350,283,67,1,0,1,76,0,76,2,3,-1,274,283,-9,563
129,CT Outside Market,BlameF,2,6,-4,394,527,-133,1,4,-3,257,327,-70,1,2,-1,137,200,-63,563
130,B Bombsite Cross to Catwalk,BlameF,3,2,1,197,188,9,2,1,1,120,68,52,1,1,0,77,120,-43,563
131,T Deep Apps Underpass/Apps Peek,BlameF,3,5,-2,321,492,-171,0,1,-1,0,71,-71,3,4,-1,321,421,-100,563
132,Left Side corner deep jungle,BlameF,9,2,7,863,254,609,7,2,5,770,254,516,2,0,2,93,0,93,563
133,Deep CT,BlameF,6,6,0,602,683,-81,5,4,1,475,483,-8,1,2,-1,127,200,-73,563
134,Close A Ramp,BlameF,4,7,-3,813,663,150,0,1,-1,179,115,64,4,6,-2,634,548,86,563
135,Murder Hole,BlameF,8,1,7,694,87,607,6,1,5,592,87,505,2,0,2,102,0,102,563
136,Stairs Palace Peek,BlameF,5,6,-1,545,493,52,3,2,1,406,236,170,2,4,-2,139,257,-118,563
137,Bench,BlameF,5,2,3,497,258,239,2,1,1,145,86,59,3,1,2,352,172,180,563
138,Top Mid towards Apps,BlameF,1,3,-2,166,265,-99,0,1,-1,0,100,-100,1,2,-1,166,165,1,563
139,Back Right B Site from T's Perspective,BlameF,1,3,-2,209,260,-51,1,3,-2,209,260,-51,0,0,0,0,0,0,563
140,Deep T Apps Underpass STairs,BlameF,5,1,4,426,279,147,1,0,1,51,0,51,4,1,3,375,279,96,563
141,Top Mid Catwalk,BlameF,7,2,5,654,289,365,0,0,0,0,0,0,7,2,5,654,289,365,563
142,Ladder Room Catwalk Side,BlameF,6,3,3,638,359,279,2,1,1,211,127,84,4,2,2,427,232,195,563
143,Right Side Connector,BlameF,9,4,5,1070,748,322,6,3,3,688,631,57,3,1,2,382,117,265,563
144,Inside Market Doors,BlameF,8,4,4,813,506,307,4,2,2,452,306,146,4,2,2,361,200,161,563
145,Top Connector,BlameF,4,2,2,743,263,480,1,1,0,223,113,110,3,1,2,520,150,370,563
146,Market Window Peek,BlameF,3,5,-2,155,520,-365,3,5,-2,155,514,-359,0,0,0,0,6,-6,563
147,Jungle Plant,BlameF,2,2,0,85,77,8,0,1,-1,0,43,-43,2,1,1,85,34,51,563
148,Back Left B Site From T's' Perspective,BlameF,3,3,0,404,232,172,3,3,0,404,232,172,0,0,0,0,0,0,563
149,Tetris,BlameF,6,3,3,445,277,168,0,0,0,0,0,0,6,3,3,445,277,168,563
150,Close Left CT A Ramp,BlameF,1,0,1,326,35,291,0,0,0,56,35,21,1,0,1,270,0,270,563
151,Balcony Boaxes,BlameF,0,2,-2,73,183,-110,0,0,0,28,0,28,0,2,-2,45,183,-138,563
152,B site Market Plant,BlameF,1,2,-1,127,131,-4,1,0,1,100,0,100,0,2,-2,27,131,-104,563
153,Right Side Platform,BlameF,1,2,-1,100,200,-100,0,0,0,0,0,0,1,2,-1,100,200,-100,563
154,Ninja,BlameF,0,2,-2,0,181,-181,0,2,-2,0,181,-181,0,0,0,0,0,0,563
155,T Spawn towards Apps,BlameF,1,2,-1,100,200,-100,0,2,-2,0,200,-200,1,0,1,100,0,100,563
156,Elevated Snipers Awp Peek,BlameF,0,1,-1,0,19,-19,0,0,0,0,0,0,0,1,-1,0,19,-19,563
157,Bench Closer to Tribox,BlameF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
158,CT Spawn,BlameF,1,1,0,101,93,8,1,1,0,101,93,8,0,0,0,0,0,0,563
159,T Spawn,BlameF,1,2,-1,53,132,-79,1,1,0,26,100,-74,0,1,-1,27,32,-5,563
160,Forest,BlameF,2,1,1,110,26,84,2,1,1,110,26,84,0,0,0,0,0,0,563
161,Under balcony,BlameF,2,2,0,225,236,-11,2,2,0,225,236,-11,0,0,0,0,0,0,563
162,T Spawn A Ramp,BlameF,1,2,-1,100,290,-190,1,1,0,100,84,16,0,1,-1,0,206,-206,563
163,Behind Big Boxes,BlameF,0,0,0,100,104,-4,0,0,0,68,0,68,0,0,0,32,104,-72,563
164,Top Mid Right Side,BlameF,2,1,1,321,113,208,0,0,0,0,0,0,2,1,1,321,113,208,563
165,Deep T Spawn T Ramp,BlameF,0,1,-1,0,38,-38,0,0,0,0,0,0,0,1,-1,0,38,-38,563
166,Semi Elevated CT Van,BlameF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
167,Catwalk Plant B Site,BlameF,1,0,1,100,27,73,0,0,0,0,0,0,1,0,1,100,27,73,563
168,Firebox,BlameF,1,1,0,2,100,-98,0,0,0,0,0,0,1,1,0,2,100,-98,563
169,Bottom Mid Ladder Room Peek,BlameF,2,1,1,200,74,126,0,0,0,0,10,-10,2,1,1,200,64,136,563
170,Register Market,BlameF,0,1,-1,6,46,-40,0,0,0,6,0,6,0,1,-1,0,46,-46,563
171,Under window B apps,BlameF,1,1,0,100,104,-4,0,0,0,0,0,0,1,1,0,100,104,-4,563
172,Close Right Market Window,BlameF,0,1,-1,0,62,-62,0,0,0,0,0,0,0,1,-1,0,62,-62,563
173,Top Mid Boxes Right Side Peek,BlameF,2,1,1,276,190,86,0,0,0,0,90,-90,2,1,1,276,100,176,563
174,Van Barrel Peek,BlameF,0,0,0,21,0,21,0,0,0,21,0,21,0,0,0,0,0,0,563
175,Bench Closer To Jungle,BlameF,5,2,3,499,201,298,5,2,3,499,201,298,0,0,0,0,0,0,563
176,Top Mid Boxes Left Side Peek,BlameF,3,0,3,239,0,239,0,0,0,0,0,0,3,0,3,239,0,239,563
177,Bottom Mid Boosting Snipers,BlameF,1,1,0,100,160,-60,1,0,1,100,139,-39,0,1,-1,0,21,-21,563
178,Close Market Window,BlameF,0,0,0,17,0,17,0,0,0,17,0,17,0,0,0,0,0,0,563
179,CT Left Side,BlameF,0,0,0,164,43,121,0,0,0,164,43,121,0,0,0,0,0,0,563
180,Chair,BlameF,2,1,1,225,152,73,0,0,0,22,0,22,2,1,1,203,152,51,563
181,ExtendedA,BlameF,0,1,-1,0,21,-21,0,1,-1,0,21,-21,0,0,0,0,0,0,563
182,B Site Default Plant,BlameF,1,0,1,128,16,112,1,0,1,102,5,97,0,0,0,26,11,15,563
183,T Deep apps,BlameF,1,0,1,100,0,100,0,0,0,0,0,0,1,0,1,100,0,100,563
184,Apartments Right CT Corner,BlameF,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,33,563
185,T Apps TV,BlameF,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,563
186,Ticketbooth ,Poizon,39,28,11,3983,3126,857,34,23,11,3534,2672,862,5,5,0,449,454,-5,535
187,Bottom Stairs,Poizon,9,12,-3,891,1206,-315,6,4,2,582,539,43,3,8,-5,309,667,-358,535
188,Mid Close Connector,Poizon,9,12,-3,1139,1299,-160,5,6,-1,575,572,3,4,6,-2,564,727,-163,535
189,CT Side Apps,Poizon,14,20,-6,1344,2109,-765,0,3,-3,52,255,-203,14,17,-3,1292,1854,-562,535
190,A Ramp,Poizon,14,11,3,1268,1660,-392,1,0,1,19,0,19,13,11,2,1249,1660,-411,535
191,Top Balcony,Poizon,15,7,8,1331,999,332,10,1,9,733,263,470,5,6,-1,598,736,-138,535
192,Default A,Poizon,18,15,3,1749,1629,120,5,2,3,434,210,224,13,13,0,1315,1419,-104,535
193,Triple Box,Poizon,25,19,6,2530,1950,580,24,12,12,2458,1419,1039,1,7,-6,72,531,-459,535
194,Top Mid Left Side,Poizon,13,5,8,1554,821,733,1,0,1,100,0,100,12,5,7,1454,821,633,535
195,A Site Exposed to Stairs Connector Cat,Poizon,6,12,-6,709,1173,-464,3,7,-4,299,638,-339,3,5,-2,410,535,-125,535
196,Deep Jungle,Poizon,8,11,-3,569,801,-232,4,7,-3,342,492,-150,4,4,0,227,309,-82,535
197,A Site,Poizon,10,11,-1,816,1179,-363,1,3,-2,35,297,-262,9,8,1,781,882,-101,535
198,Catwalk Connector Peek,Poizon,6,10,-4,779,1013,-234,3,1,2,306,126,180,3,9,-6,473,887,-414,535
199,Bench,Poizon,2,3,-1,292,177,115,1,1,0,121,100,21,1,2,-1,171,77,94,535
200,T Palace Stairs Peek,Poizon,7,4,3,649,857,-208,0,1,-1,84,141,-57,7,3,4,565,716,-151,535
201,Close A Ramp,Poizon,2,7,-5,219,626,-407,0,0,0,0,0,0,2,7,-5,219,626,-407,535
202,Snipers Nest,Poizon,8,4,4,1189,777,412,8,3,5,1120,734,386,0,1,-1,69,43,26,535
203,B Bombsite Cross to Catwalk,Poizon,3,5,-2,187,261,-74,0,0,0,0,0,0,3,5,-2,187,261,-74,535
204,Deep Catwalk,Poizon,5,9,-4,565,900,-335,5,7,-2,565,682,-117,0,2,-2,0,218,-218,535
205,Bottom Connector,Poizon,4,9,-5,592,902,-310,1,6,-5,226,622,-396,3,3,0,366,280,86,535
206,Catwalk T Aparments Peek,Poizon,8,8,0,658,774,-116,4,3,1,228,324,-96,4,5,-1,430,450,-20,535
207,Close Market door,Poizon,6,7,-1,306,522,-216,4,7,-3,260,507,-247,2,0,2,46,15,31,535
208,Back B Site Peeking Apps/Plat,Poizon,5,6,-1,639,546,93,1,0,1,123,35,88,4,6,-2,516,511,5,535
209,Right Side Connector,Poizon,10,6,4,1117,817,300,10,4,6,1117,617,500,0,2,-2,0,200,-200,535
210,Top Mid Catwalk,Poizon,7,2,5,540,526,14,1,0,1,12,138,-126,6,2,4,528,388,140,535
211,Top Mid,Poizon,8,5,3,950,547,403,6,3,3,750,280,470,2,2,0,200,267,-67,535
212,Stairs Palace Peek,Poizon,11,7,4,871,705,166,10,6,4,766,527,239,1,1,0,105,178,-73,535
