,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Ticketbooth ,KSCERATO,13,13,0,1432,1419,13,8,11,-3,1069,1302,-233,5,2,3,363,117,246,452
1,CT Side Apps,KSCERATO,17,13,4,2063,1763,300,2,2,0,321,327,-6,15,11,4,1742,1436,306,452
2,A Site,KSCERATO,5,7,-2,549,697,-148,0,2,-2,89,167,-78,5,5,0,460,530,-70,452
3,CT Catwalk,KSCERATO,4,7,-3,769,771,-2,3,5,-2,671,610,61,1,2,-1,98,161,-63,452
4,Left Side Platform,KSCERATO,17,7,10,1929,727,1202,8,2,6,973,244,729,9,5,4,956,483,473,452
5,Bottom Stairs,KSCERATO,9,12,-3,799,1057,-258,6,5,1,457,534,-77,3,7,-4,342,523,-181,452
6,Underneath B apps plat,KSCERATO,5,10,-5,746,606,140,1,3,-2,343,186,157,4,7,-3,403,420,-17,452
7,Default A,KSCERATO,5,7,-2,553,769,-216,1,2,-1,370,288,82,4,5,-1,183,481,-298,452
8,Top Balcony,KSCERATO,8,8,0,874,748,126,1,3,-2,148,298,-150,7,5,2,726,450,276,452
9,Mid Close Connector,KSCERATO,6,9,-3,729,959,-230,1,2,-1,154,192,-38,5,7,-2,575,767,-192,452
10,B Bombsite Cross to Catwalk,KSCERATO,4,5,-1,328,541,-213,0,2,-2,0,116,-116,4,3,1,328,425,-97,452
11,CT Deep Catwalk Mid peek,KSCERATO,6,10,-4,1118,1350,-232,4,5,-1,716,697,19,2,5,-3,402,653,-251,452
12,Deep T Apps,KSCERATO,12,9,3,1591,1754,-163,5,2,3,468,201,267,7,7,0,1123,1553,-430,452
13,Snipers Palace Peek,KSCERATO,4,8,-4,362,1037,-675,4,4,0,352,631,-279,0,4,-4,10,406,-396,452
14,Triple Box,KSCERATO,11,2,9,690,460,230,8,0,8,370,33,337,3,2,1,320,427,-107,452
15,Deep Jungle,KSCERATO,21,9,12,2061,1321,740,12,7,5,1316,854,462,9,2,7,745,467,278,452
16,Catwalk Plant B Site,KSCERATO,9,11,-2,855,951,-96,6,6,0,727,602,125,3,5,-2,128,349,-221,452
17,A Ramp,KSCERATO,7,7,0,1010,873,137,1,0,1,100,27,73,6,7,-1,910,846,64,452
18,A Site Exposed to Stairs Connector Cat,KSCERATO,9,6,3,607,431,176,6,1,5,374,100,274,3,5,-2,233,331,-98,452
19,Arch,KSCERATO,7,4,3,709,345,364,6,2,4,566,226,340,1,2,-1,143,119,24,452
20,Back B Site Peeking Apps/Plat,KSCERATO,9,4,5,1142,387,755,4,2,2,657,160,497,5,2,3,485,227,258,452
21,Deep Catwalk,KSCERATO,9,9,0,915,953,-38,6,6,0,685,662,23,3,3,0,230,291,-61,452
22,B site Market Plant,KSCERATO,6,9,-3,614,881,-267,5,7,-2,514,737,-223,1,2,-1,100,144,-44,452
23,Back Left B Site From T's' Perspective,KSCERATO,17,6,11,1689,763,926,16,5,11,1611,669,942,1,1,0,78,94,-16,452
24,Bench,KSCERATO,13,7,6,1503,914,589,7,5,2,961,679,282,6,2,4,542,235,307,452
25,Deep CT,KSCERATO,12,7,5,1069,859,210,10,6,4,855,716,139,2,1,1,214,143,71,452
26,Left Side corner deep jungle,KSCERATO,1,7,-6,218,538,-320,1,5,-4,137,406,-269,0,2,-2,81,132,-51,452
27,T Palace Stairs Peek,KSCERATO,5,7,-2,644,1000,-356,0,0,0,0,0,0,5,7,-2,644,1000,-356,452
28,Top Mid,KSCERATO,3,5,-2,394,702,-308,1,1,0,100,180,-80,2,4,-2,294,522,-228,452
29,Close Market door,KSCERATO,4,3,1,444,345,99,3,3,0,344,345,-1,1,0,1,100,0,100,452
30,CT Outside Market,KSCERATO,3,4,-1,492,401,91,2,3,-1,340,301,39,1,1,0,152,100,52,452
31,Close A Ramp,KSCERATO,7,3,4,673,646,27,1,1,0,138,100,38,6,2,4,535,546,-11,452
32,market,KSCERATO,6,2,4,333,368,-35,3,2,1,150,368,-218,3,0,3,183,0,183,452
33,Deep Palace,KSCERATO,1,7,-6,298,608,-310,0,2,-2,0,162,-162,1,5,-4,298,446,-148,452
34,Top Mid towards Apps,KSCERATO,4,4,0,347,349,-2,1,0,1,23,0,23,3,4,-1,324,349,-25,452
35,Underpass,KSCERATO,5,7,-2,527,740,-213,3,6,-3,329,545,-216,2,1,1,198,195,3,452
36,Top Mid Left Side,KSCERATO,3,3,0,432,632,-200,1,0,1,100,0,100,2,3,-1,332,632,-300,452
37,Right Side Platform,KSCERATO,6,5,1,549,554,-5,3,3,0,282,292,-10,3,2,1,267,262,5,452
38,Close Right Market Window,KSCERATO,2,4,-2,193,398,-205,0,2,-2,0,179,-179,2,2,0,193,219,-26,452
39,Semi Elevated CT Van,KSCERATO,5,3,2,606,457,149,5,3,2,592,370,222,0,0,0,14,87,-73,452
40,B Site Default Plant,KSCERATO,3,2,1,385,242,143,2,0,2,261,0,261,1,2,-1,124,242,-118,452
41,Murder Hole,KSCERATO,3,1,2,350,102,248,1,0,1,100,2,98,2,1,1,250,100,150,452
42,Sandwhich,KSCERATO,2,3,-1,122,276,-154,1,1,0,22,100,-78,1,2,-1,100,176,-76,452
43,Top Connector,KSCERATO,3,2,1,161,165,-4,0,1,-1,0,106,-106,3,1,2,161,59,102,452
44,Snipers Nest,KSCERATO,6,3,3,531,615,-84,3,2,1,299,427,-128,3,1,2,232,188,44,452
45,Bench Closer to Tribox,KSCERATO,2,2,0,190,135,55,1,0,1,64,0,64,1,2,-1,126,135,-9,452
46,Right Side Snipers Nest,KSCERATO,3,3,0,454,316,138,3,3,0,360,316,44,0,0,0,94,0,94,452
47,Market Window Peek,KSCERATO,3,2,1,328,257,71,3,2,1,274,257,17,0,0,0,54,0,54,452
48,Catwalk T Aparments Peek,KSCERATO,2,0,2,325,123,202,1,0,1,173,34,139,1,0,1,152,89,63,452
49,Firebox,KSCERATO,3,4,-1,375,313,62,0,1,-1,53,31,22,3,3,0,322,282,40,452
50,T Deep Apps Underpass/Apps Peek,KSCERATO,0,3,-3,53,269,-216,0,0,0,0,0,0,0,3,-3,53,269,-216,452
51,Tetris,KSCERATO,3,4,-1,338,330,8,0,1,-1,7,100,-93,3,3,0,331,230,101,452
52,Back Right B Site from T's Perspective,KSCERATO,2,1,1,127,97,30,2,0,2,127,79,48,0,1,-1,0,18,-18,452
53,T Spawn,KSCERATO,1,2,-1,146,275,-129,1,1,0,146,175,-29,0,1,-1,0,100,-100,452
54,CT Spawn,KSCERATO,0,2,-2,88,251,-163,0,2,-2,88,229,-141,0,0,0,0,22,-22,452
55,Bottom Connector,KSCERATO,3,2,1,339,323,16,1,0,1,100,0,100,2,2,0,239,323,-84,452
56,Ladder Room Catwalk Side,KSCERATO,4,3,1,408,321,87,2,2,0,155,259,-104,2,1,1,253,62,191,452
57,Jungle Plant,KSCERATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
58,Right Side Connector,KSCERATO,2,2,0,276,267,9,1,0,1,100,8,92,1,2,-1,176,259,-83,452
59,Inside Market Doors,KSCERATO,4,1,3,274,77,197,4,0,4,274,39,235,0,1,-1,0,38,-38,452
60,Middle Bench,KSCERATO,2,0,2,231,68,163,0,0,0,27,0,27,2,0,2,204,68,136,452
61,CT Left Side,KSCERATO,1,2,-1,7,200,-193,1,2,-1,7,200,-193,0,0,0,0,0,0,452
62,T Spawn A Ramp,KSCERATO,1,2,-1,231,315,-84,0,0,0,0,0,0,1,2,-1,231,315,-84,452
63,Leftside Connector,KSCERATO,2,0,2,226,181,45,0,0,0,0,0,0,2,0,2,226,181,45,452
64,Close Left CT A Ramp,KSCERATO,3,2,1,322,101,221,0,0,0,0,0,0,3,2,1,322,101,221,452
65,Stairs Palace Peek,KSCERATO,2,1,1,342,175,167,2,0,2,246,75,171,0,1,-1,96,100,-4,452
66,Catwalk Connector Peek,KSCERATO,3,0,3,426,31,395,1,0,1,102,0,102,2,0,2,324,31,293,452
67,Apartments Right CT Corner,KSCERATO,2,1,1,141,139,2,0,0,0,15,0,15,2,1,1,126,139,-13,452
68,Forest,KSCERATO,3,1,2,318,129,189,0,0,0,32,33,-1,3,1,2,286,96,190,452
69,Bench Closer To Jungle,KSCERATO,2,3,-1,226,304,-78,0,0,0,0,0,0,2,3,-1,226,304,-78,452
70,Top Mid Catwalk,KSCERATO,1,1,0,30,100,-70,1,0,1,30,0,30,0,1,-1,0,100,-100,452
71,T apps entrance close left,KSCERATO,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,452
72,Connector behind box,KSCERATO,1,2,-1,231,139,92,0,2,-2,104,125,-21,1,0,1,127,14,113,452
73,Under balcony,KSCERATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
74,Top Van,KSCERATO,2,0,2,239,0,239,1,0,1,139,0,139,1,0,1,100,0,100,452
75,Safe Plant B Site,KSCERATO,0,1,-1,55,4,51,0,1,-1,2,4,-2,0,0,0,53,0,53,452
76,Chair,KSCERATO,0,0,0,58,0,58,0,0,0,4,0,4,0,0,0,54,0,54,452
77,Balcony Boaxes,KSCERATO,0,1,-1,0,66,-66,0,0,0,0,0,0,0,1,-1,0,66,-66,452
78,Deep T Spawn T Ramp,KSCERATO,2,1,1,187,100,87,1,0,1,6,0,6,1,1,0,181,100,81,452
79,Bathroom,KSCERATO,0,1,-1,0,18,-18,0,0,0,0,0,0,0,1,-1,0,18,-18,452
80,BackRoad,KSCERATO,0,1,-1,0,29,-29,0,0,0,0,0,0,0,1,-1,0,29,-29,452
81,Fountain,KSCERATO,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,452
82,BigOffice,KSCERATO,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,452
83,Behind Big Boxes,KSCERATO,1,1,0,87,103,-16,1,0,1,87,0,87,0,1,-1,0,103,-103,452
84,T Spawn towards Apps,KSCERATO,2,1,1,152,46,106,1,1,0,100,46,54,1,0,1,52,0,52,452
85,Under window B apps,KSCERATO,0,1,-1,78,156,-78,0,1,-1,78,100,-22,0,0,0,0,56,-56,452
86,Catwalk,KSCERATO,0,1,-1,0,29,-29,0,0,0,0,0,0,0,1,-1,0,29,-29,452
87,Top Mid Right Side,KSCERATO,0,1,-1,13,178,-165,0,0,0,0,0,0,0,1,-1,13,178,-165,452
88,BoatHouse,KSCERATO,0,1,-1,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,452
89,Van Barrel Peek,KSCERATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
90,PalaceInterior,KSCERATO,0,1,-1,0,109,-109,0,1,-1,0,100,-100,0,0,0,0,9,-9,452
91,Deep T Apps Underpass STairs,KSCERATO,1,1,0,95,144,-49,0,0,0,0,0,0,1,1,0,95,144,-49,452
92,Top Mid Boxes Right Side Peek,KSCERATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
93,Bottom Mid Boosting Snipers,KSCERATO,1,1,0,0,81,-81,1,1,0,0,81,-81,0,0,0,0,0,0,452
94,Top Mid Boxes Left Side Peek,KSCERATO,1,1,0,212,100,112,0,0,0,0,0,0,1,1,0,212,100,112,452
95,BackHall,KSCERATO,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,452
96,Ticketbooth ,Yuurih,26,21,5,2803,2317,486,20,19,1,2323,2022,301,6,2,4,480,295,185,452
97,Default A,Yuurih,16,22,-6,2137,2293,-156,14,16,-2,1871,1827,44,2,6,-4,266,466,-200,452
98,Bottom Stairs,Yuurih,11,18,-7,1052,1856,-804,10,10,0,931,1108,-177,1,8,-7,121,748,-627,452
99,Deep Jungle,Yuurih,15,17,-2,1831,1447,384,9,6,3,1212,532,680,6,11,-5,619,915,-296,452
100,A Site,Yuurih,3,13,-10,777,1227,-450,3,6,-3,419,546,-127,0,7,-7,358,681,-323,452
101,A Ramp,Yuurih,11,15,-4,1368,1621,-253,11,10,1,1204,1063,141,0,5,-5,164,558,-394,452
102,Top Balcony,Yuurih,20,19,1,2432,2105,327,17,15,2,2142,1649,493,3,4,-1,290,456,-166,452
103,Mid Close Connector,Yuurih,9,12,-3,1269,1526,-257,4,7,-3,670,787,-117,5,5,0,599,739,-140,452
104,Top Mid Left Side,Yuurih,3,6,-3,613,831,-218,0,0,0,0,0,0,3,6,-3,613,831,-218,452
105,T Palace Stairs Peek,Yuurih,1,2,-1,254,256,-2,1,2,-1,242,256,-14,0,0,0,12,0,12,452
106,Close A Ramp,Yuurih,7,8,-1,722,985,-263,7,6,1,621,684,-63,0,2,-2,101,301,-200,452
107,A Site Exposed to Stairs Connector Cat,Yuurih,15,8,7,1430,880,550,8,3,5,866,358,508,7,5,2,564,522,42,452
108,Triple Box,Yuurih,5,12,-7,512,932,-420,3,5,-2,254,435,-181,2,7,-5,258,497,-239,452
109,Snipers Nest,Yuurih,10,13,-3,1085,1393,-308,5,5,0,567,529,38,5,8,-3,518,864,-346,452
110,Deep Catwalk,Yuurih,12,5,7,1124,823,301,2,2,0,136,191,-55,10,3,7,988,632,356,452
111,Market Window Peek,Yuurih,3,7,-4,357,699,-342,3,6,-3,357,683,-326,0,1,-1,0,16,-16,452
112,Underpass,Yuurih,6,7,-1,797,993,-196,5,3,2,520,378,142,1,4,-3,277,615,-338,452
113,Leftside Connector,Yuurih,6,6,0,839,686,153,3,4,-1,554,485,69,3,2,1,285,201,84,452
114,Ladder Room Catwalk Side,Yuurih,5,1,4,604,163,441,2,0,2,304,89,215,3,1,2,300,74,226,452
115,CT Side Apps,Yuurih,2,8,-6,603,1113,-510,0,0,0,0,0,0,2,8,-6,603,1113,-510,452
116,Under balcony,Yuurih,7,7,0,840,781,59,7,4,3,816,517,299,0,3,-3,24,264,-240,452
117,Right Side Connector,Yuurih,2,5,-3,432,686,-254,1,2,-1,196,220,-24,1,3,-2,236,466,-230,452
118,Tetris,Yuurih,5,7,-2,443,591,-148,5,3,2,399,273,126,0,4,-4,44,318,-274,452
119,Close Market door,Yuurih,12,4,8,857,500,357,8,3,5,492,319,173,4,1,3,365,181,184,452
120,Top Mid,Yuurih,9,5,4,863,502,361,8,2,6,808,292,516,1,3,-2,55,210,-155,452
121,B Bombsite Cross to Catwalk,Yuurih,12,5,7,1064,559,505,1,2,-1,73,154,-81,11,3,8,991,405,586,452
122,market,Yuurih,4,4,0,503,580,-77,2,3,-1,295,427,-132,2,1,1,208,153,55,452
123,Close Left CT A Ramp,Yuurih,2,7,-5,606,723,-117,1,4,-3,296,404,-108,1,3,-2,310,319,-9,452
124,Back B Site Peeking Apps/Plat,Yuurih,5,6,-1,549,825,-276,0,0,0,0,52,-52,5,6,-1,549,773,-224,452
125,Right Side Snipers Nest,Yuurih,1,6,-5,188,530,-342,1,1,0,101,69,32,0,5,-5,87,461,-374,452
126,Left Side Platform,Yuurih,3,5,-2,470,605,-135,0,1,-1,0,27,-27,3,4,-1,470,578,-108,452
127,CT Catwalk,Yuurih,3,3,0,335,288,47,2,0,2,171,68,103,1,3,-2,164,220,-56,452
128,Catwalk Connector Peek,Yuurih,1,3,-2,191,405,-214,1,1,0,98,152,-54,0,2,-2,93,253,-160,452
129,Top Connector,Yuurih,4,5,-1,535,675,-140,3,1,2,342,130,212,1,4,-3,193,545,-352,452
130,Bench,Yuurih,2,2,0,369,272,97,2,0,2,325,102,223,0,2,-2,44,170,-126,452
131,Arch,Yuurih,5,3,2,253,390,-137,1,2,-1,63,297,-234,4,1,3,190,93,97,452
132,Murder Hole,Yuurih,1,3,-2,117,325,-208,1,1,0,117,125,-8,0,2,-2,0,200,-200,452
133,T Spawn A Ramp,Yuurih,2,0,2,83,128,-45,0,0,0,0,0,0,2,0,2,83,128,-45,452
134,Ninja,Yuurih,2,7,-5,434,653,-219,2,7,-5,434,650,-216,0,0,0,0,3,-3,452
135,Deep T Apps,Yuurih,2,5,-3,270,517,-247,0,1,-1,8,100,-92,2,4,-2,262,417,-155,452
136,CT Deep Catwalk Mid peek,Yuurih,4,3,1,634,493,141,3,2,1,460,297,163,1,1,0,174,196,-22,452
137,Snipers Palace Peek,Yuurih,8,2,6,781,528,253,2,1,1,239,238,1,6,1,5,542,290,252,452
138,CT Spawn,Yuurih,1,1,0,54,121,-67,1,1,0,54,121,-67,0,0,0,0,0,0,452
139,Top STairs,Yuurih,4,2,2,448,327,121,3,1,2,248,209,39,1,1,0,200,118,82,452
140,B site Market Plant,Yuurih,3,2,1,254,93,161,1,0,1,100,0,100,2,2,0,154,93,61,452
141,Deep T Apps Underpass STairs,Yuurih,3,3,0,312,325,-13,0,0,0,0,0,0,3,3,0,312,325,-13,452
142,Catwalk T Aparments Peek,Yuurih,8,2,6,611,261,350,2,1,1,203,22,181,6,1,5,408,239,169,452
143,Connector behind box,Yuurih,8,3,5,702,211,491,4,0,4,455,3,452,4,3,1,247,208,39,452
144,Deep Palace,Yuurih,5,1,4,494,50,444,3,1,2,294,28,266,2,0,2,200,22,178,452
145,Bottom Connector,Yuurih,4,4,0,694,638,56,3,0,3,440,181,259,1,4,-3,254,457,-203,452
146,Firebox,Yuurih,1,2,-1,159,113,46,1,2,-1,159,113,46,0,0,0,0,0,0,452
147,Sandwhich,Yuurih,2,6,-4,381,514,-133,1,3,-2,281,263,18,1,3,-2,100,251,-151,452
148,Inside Market Doors,Yuurih,3,3,0,305,305,0,3,3,0,305,305,0,0,0,0,0,0,0,452
149,Balcony Boaxes,Yuurih,5,3,2,621,384,237,4,2,2,521,282,239,1,1,0,100,102,-2,452
150,CT Outside Market,Yuurih,2,2,0,200,92,108,0,1,-1,36,11,25,2,1,1,164,81,83,452
151,Bottom Mid Ladder Room Peek,Yuurih,3,2,1,399,610,-211,0,0,0,0,78,-78,3,2,1,399,532,-133,452
152,Underneath B apps plat,Yuurih,3,3,0,305,222,83,0,0,0,0,0,0,3,3,0,305,222,83,452
153,B Site Default Plant,Yuurih,1,1,0,205,150,55,0,0,0,0,0,0,1,1,0,205,150,55,452
154,Back Right B Site from T's Perspective,Yuurih,1,0,1,103,3,100,1,0,1,74,0,74,0,0,0,29,3,26,452
155,T Deep Apps Underpass/Apps Peek,Yuurih,5,0,5,456,152,304,0,0,0,0,0,0,5,0,5,456,152,304,452
156,Forest,Yuurih,0,2,-2,108,169,-61,0,0,0,27,0,27,0,2,-2,81,169,-88,452
157,Register Market,Yuurih,0,1,-1,0,50,-50,0,1,-1,0,50,-50,0,0,0,0,0,0,452
158,Catwalk Plant B Site,Yuurih,2,2,0,200,152,48,0,0,0,0,0,0,2,2,0,200,152,48,452
159,Left Side corner deep jungle,Yuurih,6,2,4,495,249,246,4,1,3,385,100,285,2,1,1,110,149,-39,452
160,Top Mid Boxes Left Side Peek,Yuurih,2,2,0,185,182,3,0,0,0,0,0,0,2,2,0,185,182,3,452
161,CT Left Side,Yuurih,2,1,1,244,178,66,2,0,2,191,89,102,0,1,-1,53,89,-36,452
162,Top Mid Catwalk,Yuurih,1,0,1,206,73,133,0,0,0,39,0,39,1,0,1,167,73,94,452
163,Deep CT,Yuurih,6,1,5,714,277,437,2,1,1,283,172,111,4,0,4,431,105,326,452
164,Back Left B Site From T's' Perspective,Yuurih,1,1,0,237,161,76,1,1,0,177,100,77,0,0,0,60,61,-1,452
165,Jungle Plant,Yuurih,2,1,1,226,204,22,0,0,0,0,54,-54,2,1,1,226,150,76,452
166,Top Mid towards Apps,Yuurih,2,3,-1,204,399,-195,0,0,0,0,0,0,2,3,-1,204,399,-195,452
167,T Deep apps,Yuurih,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,452
168,Close Right Market Window,Yuurih,3,0,3,123,22,101,1,0,1,45,0,45,2,0,2,78,22,56,452
169,T Spawn,Yuurih,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,452
170,Close Market Window,Yuurih,0,1,-1,22,30,-8,0,1,-1,22,30,-8,0,0,0,0,0,0,452
171,Safe Plant B Site,Yuurih,0,1,-1,27,58,-31,0,0,0,0,0,0,0,1,-1,27,58,-31,452
172,Stairs Palace Peek,Yuurih,1,1,0,268,122,146,1,1,0,268,122,146,0,0,0,0,0,0,452
173,Bench Closer to Tribox,Yuurih,0,2,-2,69,68,1,0,1,-1,42,55,-13,0,1,-1,27,13,14,452
174,Middle Bench,Yuurih,3,1,2,231,81,150,1,0,1,61,0,61,2,1,1,170,81,89,452
175,Top Mid Right Side,Yuurih,3,2,1,343,213,130,0,0,0,0,0,0,3,2,1,343,213,130,452
176,Flowerpot CT,Yuurih,0,0,0,17,0,17,0,0,0,17,0,17,0,0,0,0,0,0,452
177,FrontEntrance,Yuurih,0,1,-1,0,230,-230,0,0,0,0,29,-29,0,1,-1,0,201,-201,452
178,Van Barrel Peek,Yuurih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
179,BigOffice,Yuurih,0,1,-1,0,100,-100,0,1,-1,0,100,-100,0,0,0,0,0,0,452
180,Behind Big Boxes,Yuurih,0,1,-1,34,25,9,0,1,-1,0,24,-24,0,0,0,34,1,33,452
181,Apartments Right CT Corner,Yuurih,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,452
182,T Apps TV,Yuurih,1,1,0,145,109,36,1,1,0,140,100,40,0,0,0,5,9,-4,452
183,Top Mid Boxes Right Side Peek,Yuurih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
184,Top Van,Yuurih,0,1,-1,22,100,-78,0,0,0,0,0,0,0,1,-1,22,100,-78,452
185,Bottom Mid Boosting Snipers,Yuurih,1,0,1,100,3,97,0,0,0,0,3,-3,1,0,1,100,0,100,452
186,Elevated Snipers Awp Peek,Yuurih,0,1,-1,56,52,4,0,0,0,9,14,-5,0,1,-1,47,38,9,452
187,Mid Close Connector,Art,7,18,-11,898,1865,-967,5,9,-4,596,866,-270,2,9,-7,302,999,-697,452
188,Underpass,Art,21,22,-1,2517,2716,-199,21,19,2,2381,2277,104,0,3,-3,136,439,-303,452
189,Deep Catwalk,Art,12,17,-5,1510,1814,-304,6,7,-1,935,960,-25,6,10,-4,575,854,-279,452
190,Snipers Nest,Art,18,18,0,2285,2076,209,16,9,7,1765,1137,628,2,9,-7,520,939,-419,452
191,Top Mid,Art,8,11,-3,1249,1322,-73,5,4,1,789,436,353,3,7,-4,460,886,-426,452
192,Ticketbooth ,Art,14,12,2,1595,1317,278,10,9,1,1211,1050,161,4,3,1,384,267,117,452
193,Top Mid Left Side,Art,1,9,-8,175,1571,-1396,0,0,0,0,0,0,1,9,-8,175,1571,-1396,452
194,Bottom Stairs,Art,11,13,-2,1221,1393,-172,7,9,-2,818,878,-60,4,4,0,403,515,-112,452
195,CT Catwalk,Art,6,14,-8,767,1349,-582,3,8,-5,423,756,-333,3,6,-3,344,593,-249,452
196,Deep Jungle,Art,17,13,4,1601,1029,572,12,6,6,1094,473,621,5,7,-2,507,556,-49,452
197,CT Side Apps,Art,5,13,-8,703,1288,-585,2,6,-4,255,625,-370,3,7,-4,448,663,-215,452
198,Default A,Art,4,5,-1,453,535,-82,2,2,0,143,232,-89,2,3,-1,310,303,7,452
199,Top Mid Catwalk,Art,6,14,-8,978,1528,-550,1,5,-4,261,532,-271,5,9,-4,717,996,-279,452
200,Triple Box,Art,9,11,-2,826,930,-104,4,5,-1,465,509,-44,5,6,-1,361,421,-60,452
201,Snipers Palace Peek,Art,12,12,0,1311,1311,0,10,7,3,1000,864,136,2,5,-3,311,447,-136,452
202,CT Deep Catwalk Mid peek,Art,7,10,-3,774,1160,-386,5,4,1,530,616,-86,2,6,-4,244,544,-300,452
203,A Site Exposed to Stairs Connector Cat,Art,11,9,2,714,851,-137,7,8,-1,471,749,-278,4,1,3,243,102,141,452
204,Catwalk Connector Peek,Art,3,10,-7,465,1012,-547,0,5,-5,59,428,-369,3,5,-2,406,584,-178,452
205,Top Connector,Art,2,7,-5,341,708,-367,1,4,-3,174,392,-218,1,3,-2,167,316,-149,452
206,Bottom Connector,Art,8,6,2,889,573,316,7,2,5,752,260,492,1,4,-3,137,313,-176,452
207,Top Balcony,Art,6,7,-1,536,599,-63,4,3,1,452,294,158,2,4,-2,84,305,-221,452
208,A Ramp,Art,6,8,-2,649,1008,-359,2,2,0,144,200,-56,4,6,-2,505,808,-303,452
209,A Site,Art,6,5,1,668,545,123,1,2,-1,160,135,25,5,3,2,508,410,98,452
210,CT Left Side,Art,1,6,-5,122,462,-340,1,5,-4,122,404,-282,0,1,-1,0,58,-58,452
211,Catwalk T Aparments Peek,Art,6,7,-1,824,842,-18,1,3,-2,231,355,-124,5,4,1,593,487,106,452
212,Left Side corner deep jungle,Art,2,6,-4,339,398,-59,0,1,-1,0,100,-100,2,5,-3,339,298,41,452
213,Deep T Apps,Art,5,5,0,506,733,-227,2,1,1,256,100,156,3,4,-1,250,633,-383,452
214,Deep T Apps Underpass STairs,Art,3,3,0,274,358,-84,2,2,0,115,228,-113,1,1,0,159,130,29,452
