,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Ticketbooth ,Jame,19,5,14,1885,848,1037,16,5,11,1666,848,818,3,0,3,219,0,219,256
1,A Ramp,Jame,7,3,4,586,377,209,0,0,0,0,0,0,7,3,4,586,377,209,256
2,CT Side Apps,Jame,3,6,-3,235,641,-406,0,0,0,0,0,0,3,6,-3,235,641,-406,256
3,Default A,Jame,3,7,-4,307,633,-326,1,3,-2,114,233,-119,2,4,-2,193,400,-207,256
4,Close Market door,Jame,9,5,4,849,634,215,6,5,1,591,602,-11,3,0,3,258,32,226,256
5,Bottom Stairs,Jame,10,5,5,714,680,34,9,3,6,608,396,212,1,2,-1,106,284,-178,256
6,Close A Ramp,Jame,5,7,-2,603,678,-75,3,1,2,252,148,104,2,6,-4,351,530,-179,256
7,Deep Jungle,Jame,3,5,-2,432,468,-36,2,2,0,248,237,11,1,3,-2,184,231,-47,256
8,Top Mid Left Side,Jame,1,1,0,125,122,3,0,0,0,0,0,0,1,1,0,125,122,3,256
9,A Site Exposed to Stairs Connector Cat,Jame,3,1,2,261,199,62,2,0,2,251,36,215,1,1,0,10,163,-153,256
10,Market Window Peek,Jame,7,5,2,753,547,206,7,4,3,753,479,274,0,1,-1,0,68,-68,256
11,Triple Box,Jame,1,4,-3,100,509,-409,1,1,0,100,195,-95,0,3,-3,0,314,-314,256
12,Underpass,Jame,6,6,0,655,510,145,5,2,3,510,160,350,1,4,-3,145,350,-205,256
13,Mid Close Connector,Jame,1,3,-2,208,480,-272,0,0,0,0,56,-56,1,3,-2,208,424,-216,256
14,market,Jame,5,7,-2,521,805,-284,5,6,-1,521,705,-184,0,1,-1,0,100,-100,256
15,Bench,Jame,5,2,3,460,223,237,2,1,1,287,123,164,3,1,2,173,100,73,256
16,Tetris,Jame,4,4,0,403,420,-17,0,0,0,0,0,0,4,4,0,403,420,-17,256
17,Ladder Room Catwalk Side,Jame,2,4,-2,224,260,-36,0,2,-2,0,141,-141,2,2,0,224,119,105,256
18,A Site,Jame,1,2,-1,128,230,-102,1,0,1,106,30,76,0,2,-2,22,200,-178,256
19,Back B Site Peeking Apps/Plat,Jame,1,2,-1,156,200,-44,0,0,0,0,0,0,1,2,-1,156,200,-44,256
20,Snipers Nest,Jame,4,3,1,532,471,61,3,3,0,362,445,-83,1,0,1,170,26,144,256
21,Left Side Platform,Jame,2,3,-1,262,323,-61,1,2,-1,100,200,-100,1,1,0,162,123,39,256
22,Catwalk Connector Peek,Jame,2,2,0,225,281,-56,0,1,-1,0,181,-181,2,1,1,225,100,125,256
23,Close Left CT A Ramp,Jame,5,2,3,454,140,314,0,1,-1,0,100,-100,5,1,4,454,40,414,256
24,B Bombsite Cross to Catwalk,Jame,4,2,2,164,280,-116,1,1,0,2,19,-17,3,1,2,162,261,-99,256
25,T Palace Stairs Peek,Jame,0,1,-1,0,115,-115,0,1,-1,0,100,-100,0,0,0,0,15,-15,256
26,Deep CT,Jame,1,2,-1,34,131,-97,0,2,-2,22,131,-109,1,0,1,12,0,12,256
27,Deep T Apps,Jame,1,0,1,100,24,76,0,0,0,0,0,0,1,0,1,100,24,76,256
28,T Spawn A Ramp,Jame,4,2,2,405,260,145,0,0,0,0,0,0,4,2,2,405,260,145,256
29,Deep Catwalk,Jame,3,1,2,210,100,110,1,0,1,60,0,60,2,1,1,150,100,50,256
30,Deep T Apps Underpass STairs,Jame,0,1,-1,99,60,39,0,1,-1,72,60,12,0,0,0,27,0,27,256
31,Back Left B Site From T's' Perspective,Jame,3,0,3,217,95,122,2,0,2,117,35,82,1,0,1,100,60,40,256
32,Top Mid,Jame,2,0,2,153,100,53,1,0,1,53,0,53,1,0,1,100,100,0,256
33,Right Side Connector,Jame,6,1,5,646,179,467,6,1,5,646,179,467,0,0,0,0,0,0,256
34,Snipers Palace Peek,Jame,9,3,6,965,502,463,9,2,7,954,403,551,0,1,-1,11,99,-88,256
35,Murder Hole,Jame,0,1,-1,10,100,-90,0,1,-1,10,100,-90,0,0,0,0,0,0,256
36,Back Right B Site from T's Perspective,Jame,2,2,0,255,193,62,1,1,0,166,100,66,1,1,0,89,93,-4,256
37,Underneath B apps plat,Jame,0,0,0,27,28,-1,0,0,0,0,0,0,0,0,0,27,28,-1,256
38,Bottom Connector,Jame,3,0,3,235,74,161,1,0,1,35,0,35,2,0,2,200,74,126,256
39,Catwalk Plant B Site,Jame,1,1,0,93,82,11,1,1,0,93,44,49,0,0,0,0,38,-38,256
40,B Site Default Plant,Jame,4,2,2,260,117,143,2,0,2,192,0,192,2,2,0,68,117,-49,256
41,T Deep Apps Underpass/Apps Peek,Jame,0,0,0,130,92,38,0,0,0,0,0,0,0,0,0,130,92,38,256
42,CT Left Side,Jame,2,3,-1,418,268,150,1,2,-1,318,209,109,1,1,0,100,59,41,256
43,CT Catwalk,Jame,4,0,4,367,12,355,1,0,1,104,12,92,3,0,3,263,0,263,256
44,Top Mid towards Apps,Jame,1,1,0,127,101,26,1,0,1,0,0,0,0,1,-1,127,101,26,256
45,B site Market Plant,Jame,2,0,2,110,0,110,1,0,1,97,0,97,1,0,1,13,0,13,256
46,Connector behind box,Jame,0,2,-2,0,199,-199,0,2,-2,0,199,-199,0,0,0,0,0,0,256
47,Van Barrel Peek,Jame,1,1,0,87,122,-35,0,0,0,0,0,0,1,1,0,87,122,-35,256
48,Catwalk T Aparments Peek,Jame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
49,Deep Palace,Jame,0,2,-2,22,200,-178,0,1,-1,22,100,-78,0,1,-1,0,100,-100,256
50,Top Balcony,Jame,1,1,0,203,100,103,1,1,0,203,100,103,0,0,0,0,0,0,256
51,Forest,Jame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
52,Apartments Right CT Corner,Jame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
53,Top Mid Boxes Left Side Peek,Jame,1,1,0,100,103,-3,0,0,0,0,0,0,1,1,0,100,103,-3,256
54,Leftside Connector,Jame,2,2,0,100,183,-83,2,1,1,100,100,0,0,1,-1,0,83,-83,256
55,Sandwhich,Jame,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,256
56,Arch,Jame,2,0,2,146,0,146,0,0,0,0,0,0,2,0,2,146,0,146,256
57,Top STairs,Jame,2,0,2,174,0,174,1,0,1,100,0,100,1,0,1,74,0,74,256
58,Top Mid Catwalk,Jame,0,1,-1,0,155,-155,0,0,0,0,0,0,0,1,-1,0,155,-155,256
59,CT Outside Market,Jame,1,0,1,100,77,23,0,0,0,0,49,-49,1,0,1,100,28,72,256
60,Safe Plant B Site,Jame,0,1,-1,0,46,-46,0,1,-1,0,46,-46,0,0,0,0,0,0,256
61,Ninja,Jame,2,1,1,238,151,87,2,1,1,238,151,87,0,0,0,0,0,0,256
62,T Deep apps,Jame,1,1,0,163,100,63,1,1,0,100,100,0,0,0,0,63,0,63,256
63,Jungle Plant,Jame,1,0,1,10,29,-19,1,0,1,2,0,2,0,0,0,8,29,-21,256
64,Stairs Palace Peek,Jame,2,0,2,66,0,66,2,0,2,58,0,58,0,0,0,8,0,8,256
65,Elevated Snipers Awp Peek,Jame,3,0,3,369,128,241,3,0,3,369,128,241,0,0,0,0,0,0,256
66,Chair,Jame,0,1,-1,0,16,-16,0,0,0,0,0,0,0,1,-1,0,16,-16,256
67,Left Side corner deep jungle,Jame,2,0,2,114,0,114,2,0,2,114,0,114,0,0,0,0,0,0,256
68,Top Connector,Jame,2,0,2,104,18,86,1,0,1,4,1,3,1,0,1,100,17,83,256
69,Bottom Mid Ladder Room Peek,Jame,1,1,0,100,105,-5,1,1,0,100,100,0,0,0,0,0,5,-5,256
70,Close Market Window,Jame,2,1,1,134,94,40,2,1,1,134,94,40,0,0,0,0,0,0,256
71,BackofB,Jame,0,1,-1,0,85,-85,0,0,0,0,0,0,0,1,-1,0,85,-85,256
72,Bench Closer to Tribox,Jame,2,1,1,200,100,100,2,0,2,200,0,200,0,1,-1,0,100,-100,256
73,Firebox,Jame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
74,Balcony Boaxes,Jame,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,3,-3,256
75,T Spawn towards Apps,Jame,1,0,1,100,0,100,0,0,0,0,0,0,1,0,1,100,0,100,256
76,Deep Catwalk,Buster,15,11,4,1704,1221,483,13,7,6,1560,905,655,2,4,-2,144,316,-172,256
77,Triple Box,Buster,5,8,-3,616,745,-129,4,3,1,515,351,164,1,5,-4,101,394,-293,256
78,CT Side Apps,Buster,3,7,-4,435,687,-252,0,0,0,0,0,0,3,7,-4,435,687,-252,256
79,Ticketbooth ,Buster,7,6,1,656,527,129,5,4,1,401,389,12,2,2,0,255,138,117,256
80,Top Balcony,Buster,11,7,4,978,636,342,1,0,1,108,0,108,10,7,3,870,636,234,256
81,B Bombsite Cross to Catwalk,Buster,1,4,-3,152,400,-248,1,1,0,98,100,-2,0,3,-3,54,300,-246,256
82,A Site Exposed to Stairs Connector Cat,Buster,5,5,0,617,721,-104,0,1,-1,94,100,-6,5,4,1,523,621,-98,256
83,A Ramp,Buster,6,6,0,687,949,-262,0,1,-1,0,127,-127,6,5,1,687,822,-135,256
84,Default A,Buster,3,3,0,287,239,48,3,2,1,265,200,65,0,1,-1,22,39,-17,256
85,Bottom Stairs,Buster,6,5,1,536,337,199,2,4,-2,129,193,-64,4,1,3,407,144,263,256
86,CT Catwalk,Buster,17,9,8,1660,1052,608,17,9,8,1660,1052,608,0,0,0,0,0,0,256
87,CT Deep Catwalk Mid peek,Buster,11,8,3,1466,786,680,11,7,4,1466,686,780,0,1,-1,0,100,-100,256
88,A Site,Buster,2,7,-5,347,604,-257,1,1,0,100,100,0,1,6,-5,247,504,-257,256
89,Mid Close Connector,Buster,1,2,-1,108,203,-95,0,1,-1,0,100,-100,1,1,0,108,103,5,256
90,Bottom Connector,Buster,2,2,0,303,228,75,1,1,0,122,100,22,1,1,0,181,128,53,256
91,Arch,Buster,5,5,0,559,555,4,5,4,1,559,455,104,0,1,-1,0,100,-100,256
92,Jungle Plant,Buster,2,4,-2,179,390,-211,1,0,1,45,0,45,1,4,-3,134,390,-256,256
93,Left Side Platform,Buster,0,3,-3,68,300,-232,0,1,-1,32,100,-68,0,2,-2,36,200,-164,256
94,Deep Jungle,Buster,0,3,-3,144,260,-116,0,2,-2,98,200,-102,0,1,-1,46,60,-14,256
95,Catwalk Plant B Site,Buster,1,3,-2,158,352,-194,0,0,0,0,0,0,1,3,-2,158,352,-194,256
96,Catwalk T Aparments Peek,Buster,7,3,4,829,514,315,7,3,4,829,514,315,0,0,0,0,0,0,256
97,Snipers Nest,Buster,1,1,0,45,123,-78,1,1,0,45,123,-78,0,0,0,0,0,0,256
98,T Palace Stairs Peek,Buster,3,4,-1,492,482,10,0,1,-1,88,100,-12,3,3,0,404,382,22,256
99,Underneath B apps plat,Buster,1,2,-1,320,171,149,1,1,0,244,73,171,0,1,-1,76,98,-22,256
100,Top Mid Left Side,Buster,0,2,-2,111,312,-201,0,0,0,0,0,0,0,2,-2,111,312,-201,256
101,Bench,Buster,3,2,1,206,191,15,3,2,1,206,191,15,0,0,0,0,0,0,256
102,Catwalk Connector Peek,Buster,6,1,5,499,247,252,5,1,4,466,185,281,1,0,1,33,62,-29,256
103,Back B Site Peeking Apps/Plat,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
104,Top Connector,Buster,2,2,0,108,172,-64,2,0,2,108,0,108,0,2,-2,0,172,-172,256
105,Close Left CT A Ramp,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
106,Close A Ramp,Buster,3,2,1,385,123,262,0,0,0,0,0,0,3,2,1,385,123,262,256
107,B Site Default Plant,Buster,0,2,-2,26,223,-197,0,0,0,26,0,26,0,2,-2,0,223,-223,256
108,Bottom Mid Ladder Room Peek,Buster,0,0,0,0,2,-2,0,0,0,0,2,-2,0,0,0,0,0,0,256
109,Deep CT,Buster,0,2,-2,27,166,-139,0,1,-1,0,100,-100,0,1,-1,27,66,-39,256
110,Snipers Palace Peek,Buster,0,1,-1,0,98,-98,0,1,-1,0,98,-98,0,0,0,0,0,0,256
111,Left Side corner deep jungle,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
112,Right Side Snipers Nest,Buster,3,1,2,416,183,233,2,1,1,316,161,155,1,0,1,100,22,78,256
113,Deep T Apps,Buster,1,0,1,116,71,45,0,0,0,0,0,0,1,0,1,116,71,45,256
114,Leftside Connector,Buster,0,2,-2,0,200,-200,0,2,-2,0,200,-200,0,0,0,0,0,0,256
115,Sandwhich,Buster,1,2,-1,232,293,-61,0,0,0,0,0,0,1,2,-1,232,293,-61,256
116,market,Buster,1,3,-2,97,300,-203,1,3,-2,97,300,-203,0,0,0,0,0,0,256
117,Right Side Connector,Buster,0,2,-2,44,203,-159,0,1,-1,44,102,-58,0,1,-1,0,101,-101,256
118,CT Left Side,Buster,1,0,1,74,26,48,1,0,1,74,26,48,0,0,0,0,0,0,256
119,Tetris,Buster,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,39,0,39,256
120,Forest,Buster,1,1,0,45,98,-53,1,0,1,45,0,45,0,1,-1,0,98,-98,256
121,B site Market Plant,Buster,0,1,-1,38,100,-62,0,0,0,26,0,26,0,1,-1,12,100,-88,256
122,T Deep Apps Underpass/Apps Peek,Buster,2,1,1,200,112,88,0,0,0,0,0,0,2,1,1,200,112,88,256
123,Right Side Platform,Buster,0,1,-1,3,101,-98,0,0,0,0,0,0,0,1,-1,3,101,-98,256
124,Deep T Spawn T Ramp,Buster,0,1,-1,26,54,-28,0,0,0,0,0,0,0,1,-1,26,54,-28,256
125,Chair,Buster,0,0,0,4,91,-87,0,0,0,0,0,0,0,0,0,4,91,-87,256
126,Back Right B Site from T's Perspective,Buster,2,2,0,24,200,-176,2,2,0,24,200,-176,0,0,0,0,0,0,256
127,Deep Palace,Buster,2,2,0,292,221,71,0,0,0,0,93,-93,2,2,0,292,128,164,256
128,Connector behind box,Buster,1,0,1,100,71,29,0,0,0,0,0,0,1,0,1,100,71,29,256
129,Top Van,Buster,1,0,1,32,0,32,1,0,1,32,0,32,0,0,0,0,0,0,256
130,Under balcony,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
131,Close Market door,Buster,0,1,-1,26,100,-74,0,1,-1,26,100,-74,0,0,0,0,0,0,256
132,Firebox,Buster,0,1,-1,0,7,-7,0,1,-1,0,7,-7,0,0,0,0,0,0,256
133,Ninja,Buster,1,1,0,100,74,26,0,1,-1,0,74,-74,1,0,1,100,0,100,256
134,Deep T Apps Underpass STairs,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
135,Safe Plant B Site,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
136,Top Mid,Buster,0,0,0,15,29,-14,0,0,0,0,0,0,0,0,0,15,29,-14,256
137,Inside Market Doors,Buster,0,1,-1,0,47,-47,0,1,-1,0,47,-47,0,0,0,0,0,0,256
138,Stairs Palace Peek,Buster,1,0,1,34,24,10,1,0,1,34,24,10,0,0,0,0,0,0,256
139,CT Spawn,Buster,0,1,-1,0,42,-42,0,1,-1,0,22,-22,0,0,0,0,20,-20,256
140,Elevated Snipers Awp Peek,Buster,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,256
141,Top Mid Right Side,Buster,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,256
142,Murder Hole,Buster,0,1,-1,89,100,-11,0,1,-1,89,100,-11,0,0,0,0,0,0,256
143,Van Barrel Peek,Buster,0,1,-1,27,98,-71,0,0,0,0,0,0,0,1,-1,27,98,-71,256
144,Top Mid towards Apps,Buster,0,0,0,95,38,57,0,0,0,0,0,0,0,0,0,95,38,57,256
145,T Spawn towards Apps,Buster,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,256
146,Under window B apps,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
147,CT Outside Market,Buster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
148,Middle Bench,Buster,1,0,1,12,0,12,1,0,1,12,0,12,0,0,0,0,0,0,256
149,Ladder Room Catwalk Side,Buster,6,0,6,574,30,544,4,0,4,374,30,344,2,0,2,200,0,200,256
150,Mid Close Connector,Yekindar,8,11,-3,1069,1058,11,3,8,-5,453,717,-264,5,3,2,616,341,275,256
151,Top Mid Left Side,Yekindar,2,9,-7,303,1281,-978,0,0,0,0,0,0,2,9,-7,303,1281,-978,256
152,Deep Jungle,Yekindar,11,13,-2,1374,1181,193,4,7,-3,601,726,-125,7,6,1,773,455,318,256
153,Bottom Stairs,Yekindar,6,6,0,738,798,-60,2,5,-3,242,590,-348,4,1,3,496,208,288,256
154,Top Mid,Yekindar,5,5,0,636,490,146,2,4,-2,336,319,17,3,1,2,300,171,129,256
155,Underpass,Yekindar,6,4,2,816,467,349,3,1,2,456,131,325,3,3,0,360,336,24,256
156,Deep Catwalk,Yekindar,4,3,1,317,278,39,2,1,1,117,100,17,2,2,0,200,178,22,256
157,Top Mid Catwalk,Yekindar,4,6,-2,551,554,-3,3,2,1,419,200,219,1,4,-3,132,354,-222,256
158,Ticketbooth ,Yekindar,5,4,1,455,404,51,2,1,1,200,11,189,3,3,0,255,393,-138,256
159,Top Balcony,Yekindar,0,3,-3,18,224,-206,0,2,-2,18,200,-182,0,1,-1,0,24,-24,256
160,Snipers Nest,Yekindar,3,5,-2,484,443,41,1,3,-2,284,243,41,2,2,0,200,200,0,256
161,Bottom Connector,Yekindar,5,6,-1,490,733,-243,3,3,0,243,347,-104,2,3,-1,247,386,-139,256
162,A Ramp,Yekindar,3,2,1,362,333,29,2,0,2,151,0,151,1,2,-1,211,333,-122,256
163,CT Side Apps,Yekindar,5,3,2,486,613,-127,2,0,2,200,119,81,3,3,0,286,494,-208,256
164,Catwalk Connector Peek,Yekindar,6,4,2,598,422,176,3,1,2,300,181,119,3,3,0,298,241,57,256
165,Bottom Mid Ladder Room Peek,Yekindar,4,5,-1,501,544,-43,2,2,0,293,225,68,2,3,-1,208,319,-111,256
166,Default A,Yekindar,4,2,2,445,171,274,2,0,2,193,0,193,2,2,0,252,171,81,256
167,Close A Ramp,Yekindar,1,4,-3,78,280,-202,0,2,-2,63,174,-111,1,2,-1,15,106,-91,256
168,Leftside Connector,Yekindar,4,4,0,489,405,84,4,4,0,486,321,165,0,0,0,3,84,-81,256
169,CT Catwalk,Yekindar,4,4,0,419,392,27,3,0,3,319,48,271,1,4,-3,100,344,-244,256
170,Snipers Palace Peek,Yekindar,4,3,1,499,467,32,2,2,0,299,277,22,2,1,1,200,190,10,256
171,Triple Box,Yekindar,2,3,-1,242,339,-97,2,2,0,215,283,-68,0,1,-1,27,56,-29,256
172,B Bombsite Cross to Catwalk,Yekindar,1,3,-2,76,360,-284,0,1,-1,3,70,-67,1,2,-1,73,290,-217,256
173,A Site,Yekindar,3,4,-1,247,337,-90,1,0,1,100,37,63,2,4,-2,147,300,-153,256
174,Close Left CT A Ramp,Yekindar,0,3,-3,157,270,-113,0,0,0,0,0,0,0,3,-3,157,270,-113,256
175,Top Mid towards Apps,Yekindar,3,2,1,335,260,75,0,1,-1,0,100,-100,3,1,2,335,160,175,256
176,Deep Palace,Yekindar,2,2,0,250,416,-166,2,1,1,250,240,10,0,1,-1,0,176,-176,256
177,Behind Big Boxes,Yekindar,1,2,-1,133,350,-217,0,1,-1,0,100,-100,1,1,0,133,250,-117,256
178,A Site Exposed to Stairs Connector Cat,Yekindar,1,2,-1,49,222,-173,1,1,0,49,74,-25,0,1,-1,0,148,-148,256
179,Underneath B apps plat,Yekindar,0,3,-3,122,294,-172,0,0,0,0,0,0,0,3,-3,122,294,-172,256
180,Arch,Yekindar,0,2,-2,57,200,-143,0,2,-2,57,200,-143,0,0,0,0,0,0,256
181,Deep T Apps,Yekindar,1,1,0,100,65,35,0,0,0,0,0,0,1,1,0,100,65,35,256
182,Connector behind box,Yekindar,1,1,0,154,222,-68,1,1,0,154,222,-68,0,0,0,0,0,0,256
183,Close Market door,Yekindar,1,1,0,148,66,82,1,1,0,148,66,82,0,0,0,0,0,0,256
184,Top STairs,Yekindar,7,2,5,740,170,570,2,1,1,313,78,235,5,1,4,427,92,335,256
185,Tetris,Yekindar,2,1,1,211,126,85,1,1,0,182,126,56,1,0,1,29,0,29,256
186,market,Yekindar,0,1,-1,81,149,-68,0,1,-1,81,149,-68,0,0,0,0,0,0,256
